Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts,année,Em,Ee
1,Biarritz Olympique,26,19,0,7,8,6,694,350,344,90,2005,,
2,Stade français Paris,26,19,0,7,10,3,633,437,196,89,2005,,
3,Stade toulousain,26,19,0,7,8,4,713,427,286,88,2005,,
4,USA Perpignan,26,18,0,8,9,3,671,398,273,84,2005,,
5,SU Agen,26,15,0,11,7,3,655,540,115,70,2005,,
6,CS Bourgoin-Jallieu,26,14,0,12,7,4,591,516,75,67,2005,,
7,Castres olympique,26,13,0,13,6,8,685,559,126,66,2005,,
8,ASM Clermont,26,14,0,12,5,2,577,569,8,63,2005,,
9,CA Brive,26,10,1,15,2,7,431,553,-122,51,2005,,
10,RC Narbonne,26,11,0,15,1,2,533,775,-242,47,2005,,
11,Montpellier HR,26,9,0,17,5,5,574,659,-85,46,2005,,
12,Aviron bayonnais,26,8,1,17,4,5,514,669,-155,43,2005,,
13,Section paloise,26,9,0,17,1,3,476,790,-314,40,2005,,
14,RC Toulon,26,3,0,23,0,7,332,837,-505,19,2005,,
1,Stade français Paris,26,19,1,6,6,3,667,433,234,87,2006,,
2,Stade toulousain,26,18,2,6,7,3,643,424,219,86,2006,,
3,ASM Clermont,26,18,0,8,8,4,772,454,318,84,2006,,
4,Biarritz Olympique,26,16,1,9,5,5,549,385,164,76,2006,,
5,USA Perpignan,26,16,1,9,5,4,493,398,95,75,2006,,
6,CS Bourgoin-Jallieu,26,11,1,14,5,7,543,484,59,58,2006,,
7,US Montauban,26,10,2,14,1,9,475,493,-18,54,2006,,
8,Aviron bayonnais,26,11,1,14,3,2,452,647,-195,51,2006,,
9,CA Brive,26,10,1,15,1,7,419,516,-97,50,2006,,
10,SC Albi,26,11,1,14,1,3,333,512,-179,50,2006,,
11,Castres olympique,26,9,1,16,3,8,531,576,-45,49,2006,,
12,Montpellier HR,26,9,1,16,3,7,442,596,-154,48,2006,,
13,SU Agen,26,9,1,16,1,5,382,520,-138,44,2006,,
14,RC Narbonne,26,8,0,18,2,5,521,784,-263,39,2006,,
1,ASM Clermont,26,20,0,6,11,5,773,380,393,96,2007,,
2,Stade toulousain,26,19,0,7,11,4,723,394,329,91,2007,,
3,Stade français Paris,26,18,0,8,5,3,617,417,200,80,2007,,
4,USA Perpignan,26,17,2,7,4,3,531,392,139,79,2007,,
5,Castres olympique,26,15,0,11,6,3,564,524,40,69,2007,,
6,Biarritz Olympique,26,13,1,12,3,9,385,339,46,66,2007,,
7,US Montauban,26,13,0,13,2,9,420,446,-26,63,2007,,
8,Montpellier HR,26,14,0,12,1,4,426,490,-64,61,2007,,
9,Aviron bayonnais,26,11,1,14,2,6,457,535,-78,54,2007,,
10,CS Bourgoin-Jallieu,26,10,2,14,1,6,453,526,-73,52,2007,,
11,CA Brive,26,10,0,16,2,9,425,514,-89,51,2007,,
12,SC Albi,26,9,1,16,2,8,415,549,-134,48,2007,,
13,US Dax,26,6,1,19,0,8,314,645,-331,34,2007,,
14,FC Auch Gers,26,3,0,23,0,7,336,688,-352,19,2007,,
1,USA Perpignan,26,20,1,5,8,2,615,374,241,92,2008,,
2,Stade toulousain,26,21,0,5,6,2,594,324,270,92,2008,,
3,ASM Clermont,26,16,1,9,9,8,754,367,387,83,2008,,
4,Stade français Paris,26,16,1,9,7,5,622,430,192,78,2008,,
5,Biarritz Olympique,26,15,0,11,5,6,516,398,118,71,2008,,
6,CA Brive,26,13,4,9,2,4,481,481,0,66,2008,,
7,Aviron bayonnais,26,14,2,10,2,4,475,481,-6,66,2008,,
8,US Montauban,26,10,2,14,3,6,485,572,-87,53,2008,,
9,RC Toulon,26,9,2,15,3,8,409,488,-79,51,2008,,
10,Montpellier HR,26,11,0,15,3,3,408,568,-160,50,2008,,
11,CS Bourgoin-Jallieu,26,8,2,16,1,9,451,599,-148,46,2008,,
12,Castres olympique,26,7,3,16,1,9,473,537,-64,44,2008,,
13,US Dax,26,7,1,18,0,7,375,634,-259,37,2008,,
14,Stade Montois,26,5,1,20,0,7,325,730,-405,29,2008,,
1,USA Perpignan,26,17,0,9,8,4,582,412,170,80,2009,,
2,RC Toulon,26,18,1,7,3,3,541,456,85,80,2009,,
3,ASM Clermont,26,15,3,8,8,4,644,414,230,78,2009,,
4,Stade toulousain,26,15,1,10,4,8,524,359,165,74,2009,,
5,Castres olympique,26,14,3,9,6,5,542,398,144,73,2009,,
6,Racing 92,26,14,1,11,0,6,518,530,-12,64,2009,,
7,Biarritz Olympique,26,12,0,14,4,7,471,442,29,59,2009,,
8,Stade français Paris,26,10,4,12,5,5,600,572,28,58,2009,,
9,CA Brive,26,11,2,13,5,5,459,513,-54,58,2009,,
10,Montpellier HR,26,13,0,13,1,2,453,574,-121,55,2009,,
11,CS Bourgoin-Jallieu,26,11,1,14,0,4,407,591,-184,50,2009,,
12,US Montauban,26,10,2,14,0,5,422,525,-103,49,2009,,
13,Aviron bayonnais,26,9,0,17,3,8,492,490,2,47,2009,,
14,SC Albi,26,4,0,22,0,8,349,728,-379,24,2009,,
1,Stade toulousain,26,17,1,8,7,5,664,485,179,82,2010,62.0,33.0
2,Racing 92,26,16,2,8,5,5,674,549,125,78,2010,47.0,33.0
3,Castres olympique,26,16,1,9,3,7,617,487,130,76,2010,51.0,43.0
4,ASM Clermont,26,15,0,11,8,4,600,445,155,72,2010,61.0,26.0
5,Biarritz Olympique,26,15,1,10,4,6,647,571,76,72,2010,58.0,55.0
6,Montpellier HR,26,15,1,10,7,3,602,495,107,72,2010,56.0,40.0
7,Aviron bayonnais,26,16,0,10,2,5,569,508,61,71,2010,48.0,36.0
8,RC Toulon,26,15,0,11,4,6,559,469,90,70,2010,44.0,34.0
9,USA Perpignan,26,13,3,10,2,3,538,543,-5,63,2010,45.0,44.0
10,SU Agen,26,11,1,14,2,3,534,677,-143,51,2010,48.0,70.0
11,Stade français Paris,26,10,1,15,2,5,562,614,-52,49,2010,45.0,48.0
12,CA Brive,26,8,2,16,3,7,495,578,-83,46,2010,39.0,56.0
13,Stade rochelais,26,6,1,19,1,6,476,673,-197,33,2010,42.0,70.0
14,CS Bourgoin-Jallieu,26,2,0,24,0,3,379,822,-443,6,2010,32.0,90.0
1,Stade toulousain,26,19,1,6,6,3,629,448,181,87,2011,56.0,24.0
2,ASM Clermont,26,19,2,5,5,2,644,364,280,87,2011,53.0,28.0
3,RC Toulon,26,14,5,7,5,2,581,393,188,73,2011,44.0,22.0
4,Castres olympique,26,14,4,8,3,2,585,522,63,69,2011,38.0,46.0
5,Montpellier HR,26,14,1,11,4,5,601,505,96,67,2011,53.0,36.0
6,Racing 92,26,13,1,12,4,6,569,538,31,64,2011,47.0,37.0
7,Stade français Paris,26,11,2,13,6,4,568,588,-20,58,2011,50.0,53.0
8,Union Bordeaux Bègles,26,12,0,14,2,3,493,619,-126,53,2011,42.0,52.0
9,Biarritz Olympique,26,10,2,14,1,7,424,518,-94,52,2011,26.0,48.0
10,SU Agen,26,12,1,13,1,1,479,573,-94,52,2011,30.0,51.0
11,USA Perpignan,26,9,2,15,2,7,515,578,-63,49,2011,38.0,43.0
12,Aviron bayonnais,26,9,3,14,1,5,479,619,-140,48,2011,27.0,44.0
13,CA Brive,26,7,1,18,2,10,408,488,-80,42,2011,27.0,29.0
14,Lyon OU,26,5,3,18,0,5,369,591,-222,31,2011,28.0,46.0
1,ASM Clermont,26,19,1,6,8,5,779,418,361,91,2012,81.0,32.0
2,RC Toulon,26,18,1,7,11,5,779,456,323,90,2012,69.0,33.0
3,Stade toulousain,26,17,0,9,7,4,702,501,201,79,2012,67.0,37.0
4,Castres olympique,26,15,2,9,4,6,599,489,110,74,2012,49.0,33.0
5,Montpellier HR,26,16,0,10,5,4,570,520,50,73,2012,52.0,38.0
6,Racing 92,26,16,0,10,2,7,512,431,81,73,2012,32.0,28.0
7,USA Perpignan,26,13,0,13,2,7,593,607,-14,61,2012,50.0,48.0
8,Aviron bayonnais,26,12,1,13,1,6,467,609,-142,57,2012,32.0,54.0
9,Biarritz Olympique,26,12,1,13,2,5,505,540,-35,57,2012,36.0,40.0
10,Stade français Paris,26,12,1,13,2,2,578,691,-113,54,2012,42.0,60.0
11,FC Grenoble,26,12,0,14,1,5,480,606,-126,54,2012,37.0,60.0
12,Union Bordeaux Bègles,26,8,1,17,4,9,561,584,-23,47,2012,51.0,44.0
13,SU Agen,26,6,0,20,0,7,423,709,-286,31,2012,33.0,67.0
14,Stade Montois,26,2,0,24,1,7,374,761,-387,16,2012,22.0,79.0
1,RC Toulon,26,16,1,9,5,6,660,466,194,77,2013,54.0,27.0
2,Montpellier HR,26,15,1,10,7,7,670,525,145,76,2013,59.0,46.0
3,ASM Clermont,26,15,1,10,6,5,659,500,159,73,2013,59.0,37.0
4,Stade toulousain,26,13,2,11,7,6,548,442,106,69,2013,53.0,30.0
5,Racing 92,26,15,2,9,1,4,459,448,11,69,2013,32.0,34.0
6,Castres olympique,26,13,2,11,6,4,567,488,79,66,2013,50.0,35.0
7,Stade français Paris,26,14,1,11,3,4,529,496,33,65,2013,46.0,46.0
8,Union Bordeaux Bègles,26,13,0,13,5,7,629,573,56,64,2013,58.0,44.0
9,CA Brive,26,11,2,13,4,9,473,476,-3,61,2013,32.0,36.0
10,Aviron bayonnais,26,11,1,14,1,7,424,549,-125,54,2013,29.0,48.0
11,FC Grenoble,26,11,2,13,1,4,465,625,-160,53,2013,32.0,52.0
12,US Oyonnax,26,11,1,14,1,4,456,562,-106,51,2013,34.0,49.0
13,USA Perpignan,26,10,1,15,2,7,486,593,-107,51,2013,35.0,48.0
14,Biarritz Olympique,26,5,1,20,0,8,374,656,-282,30,2013,27.0,68.0
1,RC Toulon,26,16,0,10,7,5,740,525,215,76,2014,81.0,52.0
2,ASM Clermont,26,16,1,9,5,4,630,464,166,75,2014,58.0,40.0
3,Stade toulousain,26,16,0,10,3,3,573,504,69,70,2014,53.0,37.0
4,Stade français Paris,26,15,1,10,6,2,591,576,15,70,2014,60.0,54.0
5,Racing 92,26,13,3,10,3,4,551,497,54,65,2014,52.0,37.0
6,US Oyonnax,26,14,0,12,2,4,514,507,7,62,2014,37.0,43.0
7,Union Bordeaux Bègles,26,12,0,14,4,9,701,578,123,61,2014,66.0,45.0
8,Montpellier HR,26,11,2,13,2,5,537,516,21,55,2014,44.0,46.0
9,Stade rochelais,26,10,5,11,2,2,520,659,-139,54,2014,43.0,67.0
10,CA Brive,26,12,0,14,3,2,502,619,-117,53,2014,40.0,66.0
11,FC Grenoble,26,11,0,15,3,6,626,735,-109,53,2014,54.0,70.0
12,Castres olympique,26,11,0,15,4,4,509,627,-118,52,2014,50.0,63.0
13,Aviron bayonnais,26,10,1,15,5,5,522,548,-26,52,2014,44.0,46.0
14,Lyon OU,26,8,1,17,0,7,469,630,-161,41,2014,42.0,58.0
1,ASM Clermont,26,18,1,7,10,4,735,431,304,88,2015,77.0,33.0
2,RC Toulon,26,16,0,10,11,7,764,446,318,82,2015,90.0,37.0
3,Montpellier HR,26,18,0,8,7,2,723,569,154,81,2015,77.0,49.0
4,Racing 92,26,18,1,7,5,2,614,522,92,81,2015,63.0,46.0
5,Stade toulousain,26,16,2,8,7,4,680,393,287,79,2015,80.0,35.0
6,Castres olympique,26,15,0,11,6,5,650,496,154,71,2015,67.0,36.0
7,Union Bordeaux Bègles,26,14,2,10,3,4,552,503,49,67,2015,44.0,45.0
8,CA Brive,26,13,1,12,4,4,540,545,-5,62,2015,42.0,50.0
9,Stade rochelais,26,11,0,15,4,6,553,656,-103,54,2015,51.0,65.0
10,FC Grenoble,26,10,0,16,4,3,605,779,-174,47,2015,60.0,90.0
11,Section paloise,26,10,1,15,1,3,420,675,-255,46,2015,30.0,75.0
12,Stade français Paris,26,9,0,17,2,3,543,631,-88,41,2015,49.0,62.0
13,SU Agen,26,5,0,21,1,5,531,846,-315,26,2015,50.0,102.0
14,US Oyonnax,26,5,0,21,2,2,429,847,-418,24,2015,41.0,96.0
1,Stade rochelais,26,17,3,6,6,5,707,498,209,85,2016,68.0,46.0
2,ASM Clermont,26,15,3,8,8,4,800,562,238,78,2016,87.0,58.0
3,Montpellier HR,26,16,0,10,7,5,750,564,186,76,2016,80.0,50.0
4,RC Toulon,26,14,2,10,5,4,674,511,163,69,2016,68.0,50.0
5,Castres olympique,26,13,1,12,5,4,667,509,158,63,2016,66.0,38.0
6,Racing 92,26,14,1,11,3,1,586,616,-30,62,2016,63.0,62.0
7,Stade français Paris,26,12,1,13,5,4,643,638,5,59,2016,66.0,59.0
8,CA Brive,26,13,1,12,0,4,577,634,-57,58,2016,41.0,61.0
9,Section paloise,26,12,1,13,2,5,604,701,-97,57,2016,58.0,70.0
10,Lyon OU,26,11,2,13,3,4,573,632,-59,55,2016,55.0,56.0
11,Union Bordeaux Bègles,26,11,1,14,2,6,569,581,-12,54,2016,50.0,52.0
12,Stade toulousain,26,11,0,15,3,6,537,561,-24,53,2016,53.0,46.0
13,FC Grenoble,26,7,1,18,2,6,611,852,-241,38,2016,58.0,99.0
14,Aviron bayonnais,26,6,3,17,0,0,466,905,-439,30,2016,41.0,107.0
1,Montpellier HR,26,17,0,9,12,1,752,559,193,81,2017,98.0,59.0
2,Racing 92,26,18,0,8,5,3,622,478,144,80,2017,73.0,45.0
3,Stade toulousain,26,16,1,9,4,4,719,595,124,74,2017,80.0,62.0
4,RC Toulon,26,14,0,12,9,8,766,507,259,73,2017,93.0,52.0
5,Lyon OU,26,15,0,11,7,3,689,541,148,70,2017,78.0,54.0
6,Castres olympique,26,15,0,11,4,5,638,624,14,69,2017,69.0,66.0
7,Stade rochelais,26,14,1,11,6,3,686,531,155,67,2017,81.0,52.0
8,Section paloise,26,15,0,11,2,4,590,584,6,66,2017,58.0,66.0
9,ASM Clermont,26,11,1,14,4,4,629,687,-58,54,2017,67.0,76.0
10,Union Bordeaux Bègles,26,10,1,15,3,3,557,623,-66,48,2017,54.0,74.0
11,SU Agen,26,10,0,16,2,4,537,757,-220,46,2017,59.0,96.0
12,Stade français Paris,26,9,0,17,2,4,540,740,-200,42,2017,58.0,87.0
13,US Oyonnax,26,7,3,16,1,4,566,824,-258,39,2017,55.0,101.0
14,CA Brive,26,7,1,18,1,5,485,726,-241,36,2017,50.0,83.0
1,Stade toulousain,26,21,2,3,9,1,820,508,312,98,2018,102.0,57.0
2,ASM Clermont,26,16,3,7,9,4,828,535,293,83,2018,93.0,50.0
3,Lyon OU,26,17,1,8,7,1,683,525,158,78,2018,72.0,56.0
4,Racing 92,26,15,1,10,8,4,750,563,187,74,2018,95.0,55.0
5,Stade rochelais,26,16,0,10,6,1,719,616,103,71,2018,92.0,69.0
6,Montpellier HR,26,14,1,11,6,6,659,546,113,70,2018,82.0,55.0
7,Castres olympique,26,15,0,11,4,5,508,499,9,69,2018,48.0,46.0
8,Stade français Paris,26,14,0,12,4,4,583,579,4,64,2018,58.0,62.0
9,RC Toulon,26,12,0,14,6,3,572,542,30,57,2018,72.0,59.0
10,Union Bordeaux Bègles,26,12,1,13,4,3,618,711,-93,57,2018,66.0,84.0
11,Section paloise,26,9,0,17,2,5,501,763,-262,43,2018,51.0,91.0
12,SU Agen,26,8,1,17,0,4,431,654,-223,38,2018,38.0,78.0
13,FC Grenoble,26,5,2,19,0,5,448,691,-243,29,2018,32.0,82.0
14,USA Perpignan,26,2,0,24,0,4,433,821,-388,12,2018,41.0,98.0
