Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
Aviron bayonnais,2016,16.8,16,Vincent Etcheto  Dewald Senekal,Stade Jean-Dauger (Bayonne),16934.0,2016,14,26,6,3,17,41,107,0,0,466,905,-439,30,5,4,10,13,13,13,13,14,14,14,14,13,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,V,N,D,D,D,D,N,D,D,D,V,V,D,D,D,D,V,D,N,D,V,D,D,D,V,D,,,
Union Bordeaux Bègles,2011,24.2,7,Raphaël Ibañez  Jacques Brunel  Émile Ntamack  Joe Worsley,Stade Chaban-Delmas (Bordeaux) Stade Matmut-Atlantique (Bordeaux),,2016,11,26,11,1,14,50,52,2,6,569,581,-12,54,4,9,13,7,12,6,6,5,6,6,5,2,6.0,6.0,7.0,9.0,9.0,9.0,11.0,8.0,8.0,7.0,11.0,9.0,11.0,11.0,V,D,D,V,D,V,V,V,D,V,V,V,D,D,D,D,N,D,D,V,D,V,D,V,D,D,,,
CA Brive,2013,16.4,8,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2016,8,26,13,1,12,41,61,0,4,577,634,-57,58,8,3,1,6,4,9,7,7,10,8,9,9,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,8.0,N,V,V,D,V,D,V,D,D,V,D,V,D,V,D,V,D,D,V,V,D,V,V,D,D,V,,,
Castres olympique,1989,20.6,6,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Antoine (Castres),11500.0,2016,5,26,13,1,12,66,38,5,4,667,509,158,63,2,2,8,10,6,4,9,10,9,9,8,6,5.0,8.0,5.0,7.0,4.0,4.0,3.0,5.0,61.0,51.0,51.0,81.0,5.0,5.0,V,N,D,D,V,V,D,D,V,D,V,V,V,D,V,D,V,V,V,D,V,D,D,D,V,D,,,
ASM Clermont,1926,30.5,1,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2016,2,26,15,3,8,87,58,8,4,800,562,238,78,6,5,4,2,1,3,1,1,1,1,1,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,N,V,N,V,V,D,V,V,V,V,D,V,D,V,D,V,N,V,D,D,V,D,D,V,V,V,,,
Racing 92,2009,25.4,4,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade Yves-du-Manoir (Colombes) Stade Pierre-Mauroy (Villeneuve-d'Ascq),,2016,6,26,14,1,11,63,62,3,1,586,616,-30,62,11,8,3,8,5,7,11,8,7,7,7,7,8.0,5.0,8.0,6.0,8.0,7.0,7.0,7.0,91.0,81.0,61.0,51.0,6.0,6.0,D,V,V,D,V,D,D,V,V,V,D,V,N,V,D,V,D,V,D,D,D,V,V,V,D,V,,,
FC Grenoble,2012,21.7,10,Bernard Jackman  Aaron Dundon  Mike Prendergast,Stade des Alpes (Grenoble),20068.0,2016,13,26,7,1,18,58,99,2,6,611,852,-241,38,14,14,14,14,14,14,14,13,13,13,13,14,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,D,D,D,V,D,D,D,V,D,D,D,D,D,V,D,D,V,D,V,D,N,V,D,D,D,V,,,
Montpellier HR,2003,24.2,3,Jake White  Shaun Sowerby Scott Wisemantel,Altrad Stadium (Montpellier),15000.0,2016,3,26,16,0,10,80,50,7,5,750,564,186,76,12,12,12,5,3,2,4,3,3,5,4,4,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,31.0,31.0,31.0,31.0,3.0,3.0,D,D,V,V,V,V,D,V,V,D,V,D,V,V,D,V,D,V,D,V,V,D,V,V,D,V,,,
Lyon OU,2016,24.6,15,Pierre Mignoni  Sébastien Bruno David Ellis,Matmut Stadium Gerland (Lyon) Matmut Stadium (Vénissieux),24000.0,2016,10,26,11,2,13,55,56,3,4,573,632,-59,55,9,11,7,11,9,12,12,9,11,10,10,11,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,7.0,9.0,10.0,N,D,V,D,V,D,N,V,D,V,D,D,D,D,V,D,V,D,V,V,D,V,V,V,D,D,,,
Stade français Paris,1997,27.6,12,Gonzalo Quesada  Simon Raiwalui  Greg Cooper,Stade Jean-Bouin (Paris),20000.0,2016,7,26,12,1,13,66,59,5,4,643,638,5,59,1,7,6,3,7,11,8,11,8,11,12,10,9.0,11.0,10.0,11.0,11.0,11.0,10.0,12.0,121.0,121.0,101.0,61.0,7.0,7.0,V,D,N,V,D,D,V,D,V,D,D,V,V,D,V,D,D,D,V,D,D,V,V,V,V,D,,,
