Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
SU Agen,D,V,V,D,V,D,D,D,V,D,V,D,V,V,D,V,V,D,V,D,V,V,V,D,V,V,2005
Aviron bayonnais,D,D,N,V,D,V,D,D,D,V,D,D,D,V,D,D,V,V,D,V,D,D,D,V,D,D,2005
Biarritz Olympique,V,V,D,V,D,V,V,D,V,D,V,V,V,V,V,V,D,V,V,V,V,D,V,D,V,V,2005
CS Bourgoin-Jallieu,D,V,V,V,V,V,D,V,D,V,D,V,D,V,V,D,V,V,V,D,D,V,D,D,D,D,2005
CA Brive,V,D,N,D,V,D,V,D,V,D,V,V,D,D,V,D,D,D,D,D,V,D,V,V,D,D,2005
Castres olympique,V,V,V,D,D,D,D,V,V,D,V,V,V,V,D,D,D,V,D,D,D,D,D,V,V,V,2005
ASM Clermont,V,V,D,V,D,V,D,V,D,V,V,D,V,V,D,V,D,V,D,D,D,V,D,D,V,V,2005
Montpellier HR,D,D,D,D,V,D,D,V,D,V,D,D,D,D,V,V,D,D,V,V,D,V,D,V,D,D,2005
RC Narbonne,V,D,V,D,D,D,V,D,D,V,D,V,D,D,V,V,D,D,V,D,V,V,D,V,D,D,2005
Section paloise,D,D,D,D,D,V,D,V,D,V,D,D,D,D,D,V,V,D,D,V,V,V,D,V,D,D,2005
Stade français Paris,D,V,D,V,V,V,V,D,V,D,V,V,V,V,V,D,V,V,V,V,V,D,V,D,V,V,2005
Stade toulousain,V,V,V,V,V,V,V,V,D,V,D,D,V,D,V,D,V,V,D,V,D,V,V,V,V,V,2005
RC Toulon,D,D,D,D,D,D,V,D,V,D,D,D,D,D,D,D,D,D,D,D,D,D,V,D,D,D,2005
USA Perpignan,V,D,V,V,V,D,V,V,V,D,V,V,V,D,D,V,V,D,V,V,V,D,V,D,V,V,2005
SU Agen,V,D,V,D,V,D,V,D,V,D,D,V,D,D,V,D,V,D,V,D,D,D,N,D,D,D,2006
SC Albi,V,D,V,D,D,V,D,V,D,V,V,D,D,D,N,D,V,V,V,D,D,D,D,V,D,V,2006
Aviron bayonnais,D,D,D,D,D,V,D,V,D,V,D,D,V,V,V,D,D,V,D,V,D,V,N,D,V,V,2006
Biarritz Olympique,V,D,V,D,V,V,V,D,D,V,D,V,V,D,V,V,D,D,V,V,N,V,V,V,D,V,2006
CS Bourgoin-Jallieu,D,V,D,V,D,V,D,V,D,D,V,V,D,V,D,V,D,V,D,N,D,V,D,V,D,D,2006
CA Brive,D,D,D,V,D,D,D,D,V,V,D,V,D,V,V,V,D,D,D,N,D,V,D,V,V,D,2006
Castres olympique,D,D,D,V,V,D,V,D,V,D,D,N,D,V,D,V,D,D,V,D,D,D,V,D,V,D,2006
ASM Clermont,D,V,D,V,D,V,V,D,V,V,V,V,V,V,D,V,V,V,D,V,V,D,V,D,V,V,2006
US Montauban,V,V,D,D,V,D,D,V,V,V,D,N,D,D,D,D,V,V,D,V,N,D,D,V,D,D,2006
Montpellier HR,D,V,V,D,V,D,N,D,D,D,V,D,D,V,D,D,D,D,V,D,V,D,V,D,V,D,2006
RC Narbonne,D,V,D,D,D,V,D,V,V,D,D,D,V,V,D,D,D,V,D,D,V,D,D,D,D,D,2006
Stade français Paris,V,V,V,V,V,V,V,V,V,D,V,D,V,D,V,D,V,D,V,N,V,V,V,D,V,V,2006
Stade toulousain,V,V,V,V,D,D,N,V,D,V,V,D,V,D,N,V,V,V,D,V,V,V,V,V,V,V,2006
USA Perpignan,V,D,V,V,V,D,V,D,D,D,V,V,V,D,V,V,V,D,V,N,V,V,D,V,D,V,2006
SC Albi,N,V,D,D,D,V,D,D,V,V,D,D,D,V,D,D,D,V,D,V,D,V,D,V,D,D,2007
FC Auch Gers,D,D,D,V,D,D,D,D,D,D,D,D,D,D,D,V,D,D,D,D,D,D,V,D,D,D,2007
Aviron bayonnais,V,V,D,D,V,D,D,V,D,V,V,D,D,V,D,D,D,D,N,V,V,V,D,D,V,D,2007
Biarritz Olympique,N,V,D,V,V,V,V,D,V,V,D,V,D,D,V,D,V,V,D,D,D,D,V,V,D,D,2007
CS Bourgoin-Jallieu,V,V,N,D,D,V,D,D,V,D,V,V,D,D,V,D,D,D,N,D,V,D,V,D,D,V,2007
CA Brive,D,D,D,D,V,D,V,V,D,D,D,V,V,D,D,V,D,V,D,D,D,V,D,V,V,D,2007
Castres olympique,V,D,D,D,V,D,V,D,V,V,D,V,V,V,V,D,D,V,D,V,V,D,V,D,V,V,2007
ASM Clermont,D,V,V,V,V,V,D,V,D,V,V,V,V,V,V,V,V,V,V,D,V,V,V,D,D,V,2007
US Dax,D,D,V,D,D,D,D,V,D,D,D,N,D,D,V,D,D,D,V,V,D,V,D,D,D,D,2007
US Montauban,D,V,V,D,V,D,V,D,D,D,D,V,V,V,D,D,V,D,V,D,V,D,V,V,D,V,2007
Montpellier HR,V,D,V,V,V,D,V,D,D,D,V,D,V,D,D,V,V,D,D,D,V,V,D,V,V,V,2007
Stade français Paris,V,D,V,V,D,V,V,V,V,V,V,D,D,D,V,V,V,V,V,V,V,D,D,V,V,D,2007
Stade toulousain,V,V,V,V,D,V,V,V,V,V,V,D,V,V,D,V,V,D,V,V,D,V,D,D,V,V,2007
USA Perpignan,D,D,N,V,D,V,D,V,V,D,V,N,V,V,V,V,V,V,V,V,D,D,V,V,V,V,2007
Aviron bayonnais,V,V,V,D,V,V,D,V,V,V,V,D,D,N,D,D,V,V,N,V,D,D,V,D,D,V,2008
Biarritz Olympique,V,V,D,V,D,D,V,V,D,D,D,D,D,D,V,V,D,V,V,D,V,V,V,V,V,V,2008
CS Bourgoin-Jallieu,D,D,D,V,D,D,D,V,D,D,D,V,D,V,D,V,N,D,D,D,V,V,D,D,V,N,2008
CA Brive,D,N,N,D,D,V,V,D,D,V,V,V,V,D,V,N,V,V,V,V,V,D,D,D,V,N,2008
Castres olympique,D,D,N,D,V,D,D,V,D,V,D,D,D,N,D,N,V,D,V,D,V,V,D,D,D,D,2008
ASM Clermont,D,V,D,V,D,V,V,D,V,D,V,D,V,V,V,V,D,V,D,V,N,V,V,D,V,V,2008
US Dax,D,D,D,V,V,D,V,D,V,N,D,V,D,D,D,D,D,D,D,D,D,D,V,V,D,D,2008
Stade Montois,D,D,V,D,D,D,D,D,D,D,V,V,D,V,D,D,N,D,D,D,D,D,V,D,D,D,2008
US Montauban,V,D,V,D,D,V,D,V,V,N,D,D,V,D,V,D,V,D,D,V,N,D,D,V,D,D,2008
Montpellier HR,V,D,V,V,D,V,D,D,V,V,D,D,V,D,D,V,D,D,V,V,D,D,D,V,D,D,2008
Stade français Paris,V,V,V,V,V,V,V,D,D,D,V,V,V,V,V,N,V,D,V,D,D,D,V,V,D,D,2008
Stade toulousain,D,V,V,D,V,V,V,V,V,V,V,V,V,V,V,D,V,V,D,V,V,V,D,V,V,V,2008
RC Toulon,V,N,D,D,V,D,D,D,D,D,V,D,D,D,D,V,D,V,N,D,D,V,V,D,V,V,2008
USA Perpignan,V,V,D,V,V,D,V,V,V,V,D,V,V,V,V,N,D,V,V,V,V,V,D,V,V,V,2008
SC Albi,D,D,D,D,D,D,D,V,D,D,D,D,V,D,V,D,D,D,D,D,D,D,D,D,V,D,2009
Aviron bayonnais,D,V,D,D,V,D,V,D,D,D,D,D,V,D,D,D,D,D,V,V,V,V,D,D,V,D,2009
Biarritz Olympique,D,V,D,D,V,V,V,V,V,D,D,D,V,D,D,V,V,D,D,V,D,D,V,V,D,D,2009
CS Bourgoin-Jallieu,D,D,V,V,D,V,D,V,V,D,N,D,D,D,V,D,V,V,D,D,V,V,D,D,V,D,2009
CA Brive,V,D,N,D,V,D,D,V,D,D,N,V,D,V,V,D,V,V,V,D,D,V,D,V,D,D,2009
Castres olympique,V,V,N,V,V,D,V,D,V,V,D,N,V,V,D,V,V,D,V,N,V,D,V,D,D,D,2009
ASM Clermont,V,V,N,D,V,V,V,D,V,D,N,N,D,V,D,V,V,V,D,V,V,D,V,D,V,V,2009
US Montauban,D,D,N,V,V,V,D,D,D,V,V,D,D,D,V,D,N,D,D,V,D,V,V,D,D,V,2009
Montpellier HR,D,V,D,V,D,V,D,D,D,V,V,V,V,D,D,V,D,V,D,D,V,D,D,V,V,V,2009
Racing 92,V,D,V,D,D,D,D,V,V,V,V,V,V,V,V,V,D,D,V,N,D,D,V,D,V,D,2009
Stade français Paris,N,D,V,D,D,V,V,N,V,D,N,V,D,D,V,D,N,V,D,V,D,D,D,V,D,V,2009
Stade toulousain,V,V,D,V,D,V,D,N,V,V,D,V,D,V,D,V,V,D,V,D,V,V,D,V,D,V,2009
RC Toulon,N,V,V,V,D,D,V,D,D,V,V,D,V,V,D,V,D,V,V,V,V,V,V,V,V,V,2009
USA Perpignan,V,D,V,V,V,D,V,V,D,V,V,V,D,V,V,D,D,V,V,D,D,V,V,V,D,V,2009
SU Agen,D,D,V,D,N,D,D,D,D,D,V,V,V,D,V,D,V,D,V,D,D,V,V,V,D,V,2010
Aviron bayonnais,V,V,D,V,V,V,D,D,D,D,D,V,V,V,D,V,V,V,D,V,D,D,V,V,V,V,2010
Biarritz Olympique,V,D,D,D,V,V,V,D,V,V,V,N,V,D,D,V,V,D,D,V,V,V,D,V,D,V,2010
CS Bourgoin-Jallieu,D,D,D,V,D,D,D,D,V,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,2010
CA Brive,D,V,D,D,V,V,D,N,D,D,D,D,D,N,D,V,D,D,V,D,D,V,V,D,V,D,2010
Castres olympique,D,V,V,D,V,D,V,D,D,V,V,N,V,V,D,D,V,D,V,V,V,V,D,V,V,V,2010
ASM Clermont,D,V,V,D,V,D,D,V,V,D,V,D,V,V,V,D,V,D,V,V,D,D,V,V,V,D,2010
Stade rochelais,V,D,V,D,D,D,D,D,D,V,D,V,D,D,N,V,D,D,D,D,V,D,D,D,D,D,2010
Montpellier HR,D,V,V,V,D,V,V,V,D,V,V,V,D,V,D,N,D,V,D,V,D,V,V,D,D,V,2010
Racing 92,V,D,V,V,D,V,V,V,D,V,N,D,V,N,V,V,D,V,V,V,D,V,D,D,V,V,2010
Stade français Paris,V,V,D,V,D,D,D,V,V,V,D,D,D,V,N,V,D,V,D,D,V,D,D,D,D,D,2010
Stade toulousain,V,D,V,D,V,D,V,N,V,V,V,V,D,V,V,D,V,V,V,D,V,D,V,D,V,V,2010
RC Toulon,D,V,D,V,D,V,V,V,V,D,D,V,V,D,V,D,V,V,D,D,V,D,V,V,V,D,2010
USA Perpignan,V,D,D,V,N,V,V,V,V,D,N,D,D,D,V,N,D,V,V,V,V,V,D,V,D,D,2010
SU Agen,V,N,V,D,D,V,D,V,V,D,V,V,D,V,D,D,V,D,V,D,D,D,V,D,D,V,2011
Aviron bayonnais,V,D,N,D,D,V,D,D,V,D,V,D,N,D,D,D,V,N,D,D,V,D,V,V,V,D,2011
Biarritz Olympique,D,N,D,D,D,V,D,N,D,V,D,D,D,V,V,D,D,D,V,V,V,V,D,V,D,V,2011
CA Brive,D,V,D,D,D,D,V,V,D,D,N,D,D,D,D,V,V,D,V,D,D,V,D,D,D,D,2011
