Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
,,,,,,,2005
,,,,,,,2006
,,,,,,,2007
,,,,,,,2008
SC Albi,,8.0,17.0,Daniel Blach  Éric Béchu,Stadium municipal,11500.0,2009
Aviron bayonnais,,12.0,7.0,Richard Dourthe(jusque janvier 2010) Christian Gajan (à partir de janvier 2010),Stade Jean-Dauger,16934.0,2009
Biarritz Olympique,,14.0,5.0,Jean-Michel Gonzalez  Jack Isaac,Parc des sports d'Aguiléra,15000.0,2009
CS Bourgoin-Jallieu,,10.0,11.0,Éric Catinot  Xavier Péméja,Stade Pierre-Rajon,9441.0,2009
CA Brive,,16.0,6.0,Laurent Seigne,Stade Amédée-Domenech,15000.0,2009
Castres olympique,,11.0,12.0,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11500.0,2009
ASM Clermont,,18.9,3.0,Vern Cotter,Stade Marcel-Michelin,16334.0,2009
US Montauban,,10.2,8.0,Marc Raynaud,Stade Sapiac,11937.0,2009
Montpellier HR,,12.8,10.0,Pascal Mancuso  Warren Britz,Stade Yves-du-Manoir,15000.0,2009
Stade français Paris,,21.0,4.0,Jacques Delmas,Stade Charléty. Stade Jean-Bouin,20000.0,2009
USA Perpignan,,13.0,1.0,Jacques Brunel,Stade Aimé-Giral,16593.0,2009
Racing 92,,16.0,15.0,Pierre Berbizier,Stade Yves-du-Manoir,14000.0,2009
RC Toulon,,16.5,9.0,Philippe Saint-André,Stade Mayol,13700.0,2009
Stade toulousain,,17.0,2.0,Guy Novès,Stade Ernest-Wallon,19500.0,2009
SU Agen,,9.81,15.0,Christophe Deylaud  Christian Lanta,Stade Armandie,14600.0,2010
Aviron bayonnais,,15.75,13.0,Christian Gajan,Stade Jean-Dauger,16934.0,2010
Biarritz Olympique,,15.39,7.0,Jean-Michel Gonzalez  Jack Isaac,Parc des sports d'Aguiléra,15000.0,2010
CS Bourgoin-Jallieu,,10.58,11.0,Éric Catinot (jusqu'au 11 janvier 2011) Xavier Péméja (jusqu'au 11 janvier 2011) Laurent Mignot (à partir du 11 janvier 2011) Stéphane Orjollet (à partir du 11 janvier 2011),Stade Pierre-Rajon,9441.0,2010
CA Brive,,14.05,9.0,Ugo Mola,Stade Amédée-Domenech,15000.0,2010
Castres olympique,,13.94,5.0,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11500.0,2010
ASM Clermont,,20.89,3.0,Vern Cotter,Stade Marcel-Michelin,16334.0,2010
Montpellier HR,,15.01,10.0,Fabien Galthié,Stade Yves-du-Manoir,15000.0,2010
Stade français Paris,,19.28,8.0,Michael Cheika,Stade Charléty,20000.0,2010
