Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade français Paris,26,19,1,6,6,3,667,433,234,87
2,Stade toulousain,26,18,2,6,7,3,643,424,219,86
3,ASM Clermont,26,18,0,8,8,4,772,454,318,84
4,Biarritz olympique (T),26,16,1,9,5,5,549,385,164,76
5,USA Perpignan,26,16,1,9,5,4,493,398,95,75
6,CS Bourgoin-Jallieu,26,11,1,14,5,7,543,484,59,58
7,US Montauban (P),26,10,2,14,1,9,475,493,-18,54
8,Aviron bayonnais,26,11,1,14,3,2,452,647,-195,51
9,CA Brive,26,10,1,15,1,7,419,516,-97,50
10,SC Albi (P),26,11,1,14,1,3,333,512,-179,50
11,Castres olympique,26,9,1,16,3,8,531,576,-45,49
12,Montpellier HR,26,9,1,16,3,7,442,596,-154,48
13,SU Agen,26,9,1,16,1,5,382,520,-138,44
14,RC Narbonne,26,8,0,18,2,5,521,784,-263,39
