0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,ALB,AUC,BAY,BIA,BOU,BRI,CAS,CLE,DAX,USM,MRC,SFR,PER,TOU
SC Albi,,29-0,13-6,13-8,33-8,21-18,6-33,6-12,24-17,15-25,25-12,18-23,21-16,13-20
FC Auch,14-19,,19-23,11-17,16-18,20-30,15-36,15-36,16-10,19-13,13-23,9-6,13-25,3-34
Aviron bayonnais,31-13,25-10,,10-14,19-19,20-18,27-16,36-8,27-0,25-18,19-16,14-36,35-8,10-25
Biarritz O.,15-15,26-3,20-0,,30-10,10-0,30-34,11-16,13-7,10-8,20-0,9-6,21-8,6-18
Bourgoin-Jallieu,18-13,36-0,15-10,35-15,,22-19,12-14,14-20,50-14,10-8,23-17,16-31,9-10,30-23
CA Brive,25-6,40-26,21-22,7-12,29-13,,26-13,9-11,30-0,14-7,6-9,11-3,7-16,15-12
Castres O.,20-16,25-12,37-17,26-19,32-17,41-10,,15-14,38-16,21-7,12-17,16-47,0-16,6-16
ASM Clermont,52-17,26-6,27-3,12-9,36-7,38-7,28-35,,95-7,40-13,33-20,50-12,29-15,21-17
US Dax,12-9,16-6,11-6,17-12,15-14,19-27,8-17,22-40,,20-16,16-36,9-13,10-21,10-15
US Montauban,24-17,30-19,15-12,19-13,16-11,43-13,15-12,18-16,12-11,,14-6,24-16,28-22,12-16
Montpellier RC,19-14,29-24,37-13,14-18,12-6,20-14,25-9,14-56,18-13,12-8,,9-12,19-12,17-15
Stade français,43-20,15-12,46-6,22-18,34-20,36-7,44-15,23-17,22-19,25-18,33-6,,12-23,29-0
USA Perpignan,45-7,28-23,38-13,16-3,3-3,23-19,20-18,18-17,10-10,23-3,27-6,23-19,,50-6
Stade toulousain,33-12,73-12,35-28,12-6,57-17,51-3,44-23,11-23,58-5,28-6,35-13,28-9,41-15,
