Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
SU Agen,7,3,3,8,7,8,8,5,5,6,6,5,7,5,7,8,6,8,7,8,8,8,8,8,11,10
Aviron bayonnais,6,11,10,10,11,9,12,13,11,12,11,11,12,12,13,14,11,12,13,13,13,13,13,13,12,12
Biarritz olympique,14,12,12,14,14,13,14,14,14,13,13,14,14,14,12,13,13,13,12,12,11,10,10,9,10,9
Bordeaux Bègles,13,8,11,12,10,10,10,10,9,7,8,9,9,8,8,9,9,9,9,9,9,11,12,11,9,8
CA Brive,8,5,8,9,9,11,9,6,8,10,10,10,11,11,11,10,10,10,10,10,10,9,11,12,13,13
Castres olympique,12,4,4,3,2,2,1,2,3,4,4,4,4,3,4,4,4,4,4,5,4,5,6,5,5,4
ASM Clermont,4,2,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lyon OU,11,13,14,11,12,14,13,12,13,14,14,13,13,13,14,12,14,14,14,14,14,14,14,14,14,14
Montpellier HR,10,14,13,13,13,12,11,11,12,11,9,8,8,9,9,5,5,5,5,4,5,4,4,4,4,5
Stade français Paris,1,7,7,5,8,7,7,9,10,8,7,6,5,6,5,6,7,6,8,7,6,7,7,7,7,7
USA Perpignan,3,10,6,4,4,4,5,8,7,9,12,12,10,10,10,11,12,11,11,11,12,12,9,10,8,11
Racing Métro 92,5,1,2,7,6,6,6,7,6,5,5,7,6,7,6,7,8,7,6,6,7,6,5,6,6,6
RC Toulon,2,9,9,6,5,5,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
Stade toulousain,9,6,5,2,3,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
