Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Aviron bayonnais,2004,18.15,8,Christian Lanta  Christophe Deylaud,Stade Jean-Dauger,16 934
Biarritz olympique,1996,16.94,9,Laurent Rodriguez  Didier Faugeron,Parc des sports d'Aguiléra,15 000
Union Bordeaux Bègles,2011,12.86,12,Raphaël Ibañez  Régis Sonnes  Vincent Etcheto  Joe Worsley,Stade André-Moga Stade Chaban-Delmas,9 600 34 694
CA Brive,2013,11.09,2 (Pro D2),Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13 979
Castres olympique,1989,17.33,4 (champion),Matthias Rolland  Serge Milhas  David Darricarrère,Stade Pierre-Antoine,11 500
ASM Clermont,1925,26.72,1,Vern Cotter  Franck Azéma,Stade Marcel-Michelin,18 030
FC Grenoble,2012,18.64,11,Fabrice Landreau  Sylvain Bégon  Franck Corrihons,Stade Lesdiguières Stade des Alpes,12 650 20 068
Montpellier HR,2003,19.97,5,Fabien Galthié  Mario Ledesma  Stéphane Glas,Stade Yves-du-Manoir,14 700
US Oyonnax,2013,9.17,1 (Pro D2),Christophe Urios  Frédéric Charrier  Lipi Sinnott,Stade Charles-Mathon,11 400
Stade français,1997,24.97,10,Gonzalo Quesada / Patricio Noriega  Jean-Frédéric Dubois,Stade Jean-Bouin,20 000
USA Perpignan,1911,14.95,7,Marc Delpoux  Giampiero de Carli  Patrick Arlettaz,Stade Aimé-Giral,15 000
Racing Métro 92,2009,22.45,6,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade olympique Yves-du-Manoir,14 000
RC Toulon,2008,23.66,2,Bernard Laporte  Jacques Delmas  Pierre Mignoni,Stade Mayol,15 820
Stade toulousain,1907,35.42,3,Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon,19 500
