Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Union Bordeaux Bègles,17,13,1,3,53,28,6,1,475,317,158,61
2,Lyon OU,17,12,0,5,50,27,5,0,463,304,159,53
3,Racing 92,17,9,1,7,51,30,5,3,451,326,125,46
4,RC Toulon,17,9,2,6,37,32,3,2,396,334,62,45
5,Stade rochelais,17,9,0,8,38,38,3,3,370,377,-7,42
6,ASM Clermont,17,10,0,7,39,45,1,0,423,415,8,41
7,Stade toulousain T,17,8,1,8,37,30,4,2,368,331,37,40
8,Montpellier HR,17,6,3,8,42,37,2,5,404,390,14,37
9,Aviron bayonnais P,17,7,1,9,27,45,0,3,327,409,-82,33
10,Castres olympique,17,7,0,10,38,43,3,2,392,460,-68,33
11,CA Brive P,17,7,1,9,32,48,1,2,364,439,-75,33
12,Section paloise,17,6,0,11,31,42,0,4,334,414,-80,28
13,SU Agen,17,5,1,11,36,46,0,4,323,414,-91,26
14,Stade français Paris,17,5,1,11,30,50,0,3,328,488,-160,25
