Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17
Agen,13,10,12,9,10,11,12,10,13,13,13,13,14,13,14,12,13
Bayonne,5,5,7,5,4,3,3,3,4,10,8,11,11,10,11,11,9
Bordeaux Bègles,6,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1
Brive,12,14,13,14,12,9,13,9,12,8,6,9,9,9,9,10,11
Castres,7,8,10,11,9,5,8,12,11,12,11,12,12,12,10,9,10
Clermont,4,3,4,7,5,4,4,4,6,5,7,6,8,7,6,7,6
Lyon,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2
Montpellier,8,4,3,4,6,8,10,7,7,3,5,8,6,8,7,8,8
Paris,14,13,9,13,14,14,14,14,14,14,14,14,13,14,12,13,14
Pau,3,9,5,3,3,6,11,8,3,9,12,10,10,11,13,14,12
Racing 92,10,7,6,10,13,10,9,13,10,11,10,7,5,4,3,5,3
La Rochelle,11,11,14,8,8,12,6,6,9,7,9,5,4,3,5,3,5
Toulon,2,6,11,6,7,7,7,5,5,6,3,3,3,5,4,4,4
Toulouse,9,12,8,12,11,13,5,11,8,4,4,4,7,6,8,6,7
