Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,JR1,J18,J19,J20,J21,JR2,JR3,J22,J23,J24,J25,J26
Biarritz olympique,G,P,G,P,P,P,P,G,P,P,G,P,P,P,P,P,G,,P,P,P,,,P,P,P,P,P,P
Union Bordeaux Bègles,P,G,N,G,G,G,G,G,G,P,G,G,R,G,G,G,R,P,P,P,P,P,,G,P,G,P,G,P
CA Brive,G,P,G,P,G,P,P,P,P,G,P,P,R,P,P,G,P,G,N,G,P,,,G,P,P,P,P,G
Castres olympique,G,G,N,P,G,P,G,P,G,P,P,G,G,G,G,P,G,,G,P,G,,,P,G,G,G,G,G
ASM Clermont,P,P,G,P,G,P,G,G,P,G,P,G,R,G,P,P,R,P,P,G,G,G,,P,G,P,G,G,G
Stade rochelais,P,P,P,G,P,G,G,G,P,G,G,P,G,P,R,P,P,,G,G,G,,P,G,G,G,P,G,G
Lyon OU,G,P,G,P,P,G,G,P,P,G,P,G,P,G,G,G,G,,P,G,P,,,P,P,G,G,P,P
Montpellier HR,N,G,P,P,G,P,P,G,G,G,G,G,G,R,R,G,G,,N,G,P,G,P,G,G,P,P,G,P
Stade français Paris,P,P,P,G,P,G,G,G,P,P,P,G,R,G,P,G,P,G,G,P,G,,,P,P,G,P,P,P
Section paloise,P,G,P,G,G,P,P,P,G,G,P,N,R,G,P,G,P,P,G,P,G,,,G,G,P,P,P,P
USA Perpignan,P,G,P,G,P,P,P,P,G,P,G,P,P,P,G,P,G,,P,P,G,,,P,P,P,G,P,G
Racing 92,G,G,P,G,P,G,G,P,G,P,P,P,R,P,G,G,G,G,G,G,P,,,P,G,G,G,P,G
RC Toulon,N,P,G,P,P,G,P,P,G,P,G,N,R,R,R,P,P,G,G,P,G,P,G,G,G,G,G,G,P
Stade toulousain,G,G,G,G,G,G,P,G,P,G,G,P,R,P,R,P,P,P,P,G,P,,G,G,P,P,G,G,G
