Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,D,V,D,V,D,V,D,V,V,V,D,V,N,V,D,V,D,V,V,D,D,D,V,D,V,D
Union Bordeaux Bègles,D,D,V,D,V,D,V,N,V,D,D,V,V,V,V,D,D,V,V,V,D,D,V,D,V,D
CA Brive,D,V,D,D,V,D,D,D,D,D,D,D,V,V,V,D,D,D,D,D,D,D,V,V,D,D
Castres olympique,D,V,D,V,D,V,V,D,V,D,D,V,D,N,D,V,D,D,D,V,V,V,V,D,V,V
ASM Clermont,D,V,D,V,V,D,V,N,D,D,D,V,D,D,V,D,V,D,V,D,V,D,D,V,D,V
Lyon OU,V,D,D,V,D,V,V,V,D,V,V,D,D,D,V,V,V,V,V,D,D,D,D,V,N,V
Montpellier HR,D,V,V,V,D,D,D,D,V,V,V,D,V,D,V,D,D,D,D,V,V,D,D,D,V,D
Stade français Paris,V,D,V,D,D,V,V,V,D,N,D,V,V,V,V,D,V,D,V,D,D,V,V,D,N,D
Section paloise,V,D,V,D,D,D,D,D,V,V,V,D,N,D,D,D,V,D,D,D,V,V,D,V,D,D
USA Perpignan,D,D,D,V,V,D,D,D,V,D,V,D,D,D,D,V,V,V,D,V,D,D,V,D,V,D
Racing 92,V,D,V,D,D,V,D,V,V,V,V,V,D,N,D,V,D,V,D,D,V,V,D,V,V,D
Stade rochelais,V,V,V,D,V,D,V,D,D,V,V,D,D,V,V,D,D,V,V,V,V,V,V,V,D,V
RC Toulon,V,D,V,D,V,V,D,V,D,D,V,D,V,D,D,V,V,V,D,V,V,V,D,D,D,V
Stade toulousain,V,V,D,V,V,V,V,V,D,N,D,V,V,V,D,V,V,D,V,V,D,V,D,V,D,V
