,Agen,Bayonne,Biarritz,Bourgoin,Brive,Castres,Montferrand,Montpellier,Narbonne,Pau,Stade Français,Stade Toulousain,Toulon,USAP
Journée 1,usap,STADE TOULOUSAIN,toulon,brive,BOURGOIN,montpellier,pau,CASTRES,STADE FRANÇAIS,MONTFERRAND,narbonne,bayonne,BIARRITZ,AGEN
Journée 2,BRIVE,bourgoin,USAP,BAYONNE,agen,NARBONNE,MONTPELLIER,montferrand,castres,stade toulousain,TOULON,PAU,stade français,biarritz
Journée 3,BIARRITZ,brive,agen,pau,BAYONNE,toulon,narbonne,STADE TOULOUSAIN,MONTFERRAND,BOURGOIN,usap,montpellier,CASTRES,STADE FRANÇAIS
Journée 4,stade français,PAU,BRIVE,MONTPELLIER,biarritz,USAP,TOULON,bourgoin,stade toulousain,bayonne,AGEN,NARBONNE,montferrand,castres
Journée 5,CASTRES,montpellier,STADE FRANÇAIS,narbonne,PAU,agen,usap,BAYONNE,BOURGOIN,brive,biarritz,toulon,STADE TOULOUSAIN,MONTFERRAND
Journée 6,montferrand,NARBONNE,castres,TOULON,stade français,BIARRITZ,AGEN,pau,bayonne,MONTPELLIER,BRIVE,USAP,bourgoin,stade toulousain
Journée 7,STADE TOULOUSAIN,toulon,MONTFERRAND,usap,MONTPELLIER,stade français,biarritz,brive,PAU,narbonne,CASTRES,agen,BAYONNE,BOURGOIN
Journée 8,bourgoin,USAP,stade toulousain,AGEN,castres,BRIVE,STADE FRANÇAIS,NARBONNE,montpellier,TOULON,montferrand,BIARRITZ,pau,bayonne
Journée 9,BAYONNE,agen,BOURGOIN,biarritz,NARBONNE,MONTFERRAND,castres,toulon,brive,usap,STADE TOULOUSAIN,stade français,MONTPELLIER,PAU
Journée 10,pau,BIARRITZ,bayonne,STADE FRANÇAIS,montferrand,stade toulousain,BRIVE,USAP,TOULON,AGEN,bourgoin,CASTRES,narbonne,montpellier
Journée 11,MONTPELLIER,stade français,PAU,castres,TOULON,BOURGOIN,STADE TOULOUSAIN,agen,usap,biarritz,BAYONNE,montferrand,brive,NARBONNE
Journée 12,narbonne,CASTRES,montpellier,MONTFERRAND,STADE TOULOUSAIN,bayonne,bourgoin,BIARRITZ,AGEN,STADE FRANÇAIS,pau,brive,USAP,toulon
Journée 13,TOULON,montferrand,NARBONNE,stade toulousain,usap,PAU,BAYONNE,stade français,biarritz,castres,MONTPELLIER,BOURGOIN,agen,BRIVE
Journée 14,USAP,stade toulousain,TOULON,BRIVE,bourgoin,MONTPELLIER,PAU,castres,stade français,montferrand,NARBONNE,BAYONNE,biarritz,agen
Journée 15,brive,BOURGOIN,usap,bayonne,AGEN,narbonne,montpellier,MONTFERRAND,CASTRES,STADE TOULOUSAIN,toulon,pau,STADE FRANÇAIS,BIARRITZ
Journée 16,STADE FRANÇAIS,pau,brive,montpellier,BIARRITZ,usap,toulon,BOURGOIN,STADE TOULOUSAIN,BAYONNE,agen,narbonne,MONTFERRAND,CASTRES
Journée 17,castres,MONTPELLIER,stade français,NARBONNE,pau,AGEN,USAP,bayonne,bourgoin,BRIVE,BIARRITZ,TOULON,stade toulousain,montferrand
Journée 18,biarritz,BRIVE,AGEN,PAU,bayonne,TOULON,NARBONNE,stade toulousain,montferrand,bourgoin,USAP,MONTPELLIER,castres,stade français
Journée 19,MONTFERRAND,narbonne,CASTRES,toulon,STADE FRANÇAIS,biarritz,agen,PAU,BAYONNE,montpellier,brive,usap,BOURGOIN,STADE TOULOUSAIN
Journée 20,stade toulousain,TOULON,montferrand,USAP,montpellier,STADE FRANÇAIS,BIARRITZ,BRIVE,pau,NARBONNE,castres,AGEN,bayonne,bourgoin
Journée 21,BOURGOIN,usap,STADE TOULOUSAIN,agen,CASTRES,brive,stade français,narbonne,MONTPELLIER,toulon,MONTFERRAND,biarritz,PAU,BAYONNE
Journée 22,bayonne,AGEN,bourgoin,BIARRITZ,narbonne,montferrand,CASTRES,TOULON,BRIVE,USAP,stade toulousain,STADE FRANÇAIS,montpellier,pau
Journée 23,PAU,biarritz,BAYONNE,stade français,MONTFERRAND,STADE TOULOUSAIN,brive,usap,toulon,agen,BOURGOIN,castres,NARBONNE,MONTPELLIER
Journée 24,montpellier,STADE FRANÇAIS,pau,CASTRES,toulon,bourgoin,stade toulousain,AGEN,USAP,BIARRITZ,bayonne,MONTFERRAND,BRIVE,narbonne
Journée 25,NARBONNE,castres,MONTPELLIER,montferrand,stade toulousain,BAYONNE,BOURGOIN,biarritz,agen,stade français,PAU,BRIVE,usap,TOULON
Journée 26,toulon,MONTFERRAND,narbonne,STADE TOULOUSAIN,USAP,pau,bayonne,STADE FRANÇAIS,BIARRITZ,CASTRES,montpellier,bourgoin,AGEN,brive
