,Agen,Albi,Bayonne,Biarritz,Bourgoin,Brive,Castres,Clermont,Montauban,Montpellier,Narbonne,Stade Français,Stade Toulousain,USAP
Journée 1,BOURGOIN,BAYONNE,albi,CLERMONT,agen,STADE TOULOUSAIN,usap,biarritz,NARBONNE,stade français,montauban,MONTPELLIER,brive,CASTRES
Journée 2,montpellier,stade toulousain,MONTAUBAN,narbonne,BRIVE,bourgoin,STADE FRANÇAIS,USAP,bayonne,AGEN,BIARRITZ,castres,ALBI,clermont
Journée 3,BRIVE,BOURGOIN,biarritz,BAYONNE,albi,agen,montpellier,stade français,STADE TOULOUSAIN,CASTRES,usap,CLERMONT,montauban,NARBONNE
Journée 4,castres,brive,USAP,stade toulousain,MONTAUBAN,ALBI,AGEN,MONTPELLIER,bourgoin,clermont,STADE FRANÇAIS,narbonne,BIARRITZ,bayonne
Journée 5,ALBI,agen,stade français,BOURGOIN,biarritz,montauban,CLERMONT,castres,BRIVE,NARBONNE,montpellier,BAYONNE,usap,STADE TOULOUSAIN
Journée 6,clermont,MONTAUBAN,MONTPELLIER,brive,USAP,BIARRITZ,narbonne,AGEN,albi,bayonne,CASTRES,stade toulousain,STADE FRANÇAIS,bourgoin
Journée 7,MONTAUBAN,biarritz,castres,ALBI,stade français,usap,BAYONNE,NARBONNE,agen,STADE TOULOUSAIN,clermont,BOURGOIN,montpellier,BRIVE
Journée 8,narbonne,USAP,CLERMONT,montauban,MONTPELLIER,STADE FRANÇAIS,stade toulousain,bayonne,BIARRITZ,bourgoin,AGEN,brive,CASTRES,albi
Journée 9,BIARRITZ,stade français,narbonne,agen,castres,montpellier,BOURGOIN,STADE TOULOUSAIN,usap,BRIVE,BAYONNE,ALBI,clermont,MONTAUBAN
Journée 10,bayonne,MONTPELLIER,AGEN,USAP,CLERMONT,CASTRES,brive,bourgoin,STADE FRANÇAIS,albi,stade toulousain,montauban,NARBONNE,biarritz
Journée 11,USAP,castres,STADE TOULOUSAIN,stade français,narbonne,clermont,ALBI,BRIVE,montpellier,MONTAUBAN,BOURGOIN,BIARRITZ,bayonne,agen
Journée 12,STADE TOULOUSAIN,CLERMONT,bourgoin,MONTPELLIER,BAYONNE,NARBONNE,montauban,albi,CASTRES,biarritz,brive,usap,agen,STADE FRANÇAIS
Journée 13,stade français,narbonne,BRIVE,castres,stade toulousain,bayonne,BIARRITZ,MONTAUBAN,clermont,USAP,ALBI,AGEN,BOURGOIN,montpellier
Journée 14,bourgoin,bayonne,ALBI,clermont,AGEN,stade toulousain,USAP,BIARRITZ,narbonne,STADE FRANÇAIS,MONTAUBAN,montpellier,BRIVE,castres
Journée 15,MONTPELLIER,STADE TOULOUSAIN,montauban,NARBONNE,brive,BOURGOIN,stade français,usap,BAYONNE,agen,biarritz,CASTRES,albi,CLERMONT
Journée 16,brive,bourgoin,BIARRITZ,bayonne,ALBI,AGEN,MONTPELLIER,STADE FRANÇAIS,stade toulousain,castres,USAP,clermont,MONTAUBAN,narbonne
Journée 17,CASTRES,BRIVE,usap,STADE TOULOUSAIN,montauban,albi,agen,montpellier,BOURGOIN,CLERMONT,stade français,NARBONNE,biarritz,BAYONNE
Journée 18,albi,AGEN,STADE FRANÇAIS,bourgoin,BIARRITZ,MONTAUBAN,clermont,CASTRES,brive,narbonne,MONTPELLIER,bayonne,USAP,stade toulousain
Journée 19,CLERMONT,montauban,montpellier,BRIVE,usap,biarritz,NARBONNE,agen,ALBI,BAYONNE,castres,STADE TOULOUSAIN,stade français,BOURGOIN
Journée 20,montauban,BIARRITZ,CASTRES,albi,STADE FRANÇAIS,USAP,bayonne,narbonne,AGEN,stade toulousain,CLERMONT,bourgoin,MONTPELLIER,brive
Journée 21,NARBONNE,usap,clermont,MONTAUBAN,montpellier,stade français,STADE TOULOUSAIN,BAYONNE,biarritz,BOURGOIN,agen,BRIVE,castres,ALBI
Journée 22,biarritz,STADE FRANÇAIS,NARBONNE,AGEN,CASTRES,MONTPELLIER,bourgoin,stade toulousain,USAP,brive,bayonne,albi,CLERMONT,montauban
Journée 23,BAYONNE,montpellier,agen,usap,clermont,castres,BRIVE,BOURGOIN,stade français,ALBI,STADE TOULOUSAIN,MONTAUBAN,narbonne,BIARRITZ
Journée 24,usap,CASTRES,stade toulousain,STADE FRANÇAIS,NARBONNE,CLERMONT,albi,brive,MONTPELLIER,montauban,bourgoin,biarritz,BAYONNE,AGEN
Journée 25,stade toulousain,clermont,BOURGOIN,montpellier,bayonne,narbonne,MONTAUBAN,ALBI,castres,BIARRITZ,BRIVE,USAP,AGEN,stade français
Journée 26,STADE FRANÇAIS,NARBONNE,brive,CASTRES,STADE TOULOUSAIN,BAYONNE,biarritz,montauban,CLERMONT,usap,albi,agen,bourgoin,MONTPELLIER
