,Albi,Auch,Bayonne,Biarritz,Bourgoin,Brive,Castres,Clermont,Dax,Montauban,Montpellier,Stade Français,Stade Toulousain,USAP
Journée 1,biarritz,castres,brive,ALBI,MONTAUBAN,BAYONNE,AUCH,stade français,STADE TOULOUSAIN,bourgoin,USAP,CLERMONT,dax,montpellier
Journée 2,USAP,BOURGOIN,DAX,brive,auch,BIARRITZ,montauban,MONTPELLIER,bayonne,CASTRES,clermont,stade toulousain,STADE FRANÇAIS,albi
Journée 3,CLERMONT,dax,stade français,STADE TOULOUSAIN,usap,montauban,montpellier,albi,AUCH,BRIVE,CASTRES,BAYONNE,biarritz,BOURGOIN
Journée 4,stade toulousain,MONTAUBAN,BIARRITZ,bayonne,CLERMONT,MONTPELLIER,USAP,bourgoin,stade français,auch,brive,DAX,ALBI,castres
Journée 5,montpellier,BIARRITZ,USAP,auch,castres,dax,BOURGOIN,STADE TOULOUSAIN,BRIVE,STADE FRANÇAIS,ALBI,montauban,clermont,bayonne
Journée 6,DAX,clermont,bourgoin,MONTAUBAN,BAYONNE,usap,stade toulousain,AUCH,albi,biarritz,stade français,MONTPELLIER,CASTRES,BRIVE
Journée 7,brive,STADE TOULOUSAIN,montpellier,USAP,STADE FRANÇAIS,ALBI,CLERMONT,castres,montauban,DAX,BAYONNE,bourgoin,auch,biarritz
Journée 8,STADE FRANÇAIS,bayonne,AUCH,clermont,dax,CASTRES,brive,BIARRITZ,BOURGOIN,usap,stade toulousain,albi,MONTPELLIER,MONTAUBAN
Journée 9,auch,ALBI,castres,DAX,MONTPELLIER,stade français,BAYONNE,usap,biarritz,STADE TOULOUSAIN,bourgoin,BRIVE,montauban,CLERMONT
Journée 10,BOURGOIN,stade français,MONTAUBAN,montpellier,albi,CLERMONT,dax,brive,CASTRES,bayonne,BIARRITZ,AUCH,USAP,stade toulousain
Journée 11,bayonne,usap,ALBI,bourgoin,BIARRITZ,stade toulousain,STADE FRANÇAIS,MONTAUBAN,montpellier,clermont,DAX,castres,BRIVE,AUCH
Journée 12,CASTRES,BRIVE,clermont,STADE FRANÇAIS,STADE TOULOUSAIN,auch,albi,BAYONNE,usap,MONTPELLIER,montauban,biarritz,bourgoin,DAX
Journée 13,MONTAUBAN,montpellier,STADE TOULOUSAIN,castres,brive,BOURGOIN,BIARRITZ,dax,CLERMONT,albi,AUCH,USAP,bayonne,stade français
Journée 14,BIARRITZ,CASTRES,BRIVE,albi,montauban,bayonne,auch,STADE FRANÇAIS,stade toulousain,BOURGOIN,usap,clermont,DAX,MONTPELLIER
Journée 15,usap,bourgoin,dax,BRIVE,AUCH,biarritz,MONTAUBAN,montpellier,BAYONNE,castres,CLERMONT,STADE TOULOUSAIN,stade français,ALBI
Journée 16,clermont,DAX,STADE FRANÇAIS,stade toulousain,USAP,MONTAUBAN,MONTPELLIER,ALBI,auch,brive,castres,bayonne,BIARRITZ,bourgoin
Journée 17,STADE TOULOUSAIN,montauban,biarritz,BAYONNE,clermont,montpellier,usap,BOURGOIN,STADE FRANÇAIS,AUCH,BRIVE,dax,albi,CASTRES
Journée 18,MONTPELLIER,biarritz,usap,AUCH,CASTRES,DAX,bourgoin,stade toulousain,brive,stade français,albi,MONTAUBAN,CLERMONT,BAYONNE
Journée 19,dax,CLERMONT,BOURGOIN,montauban,bayonne,USAP,STADE TOULOUSAIN,auch,ALBI,BIARRITZ,STADE FRANÇAIS,montpellier,castres,brive
Journée 20,BRIVE,stade toulousain,MONTPELLIER,usap,stade français,albi,clermont,CASTRES,MONTAUBAN,dax,bayonne,BOURGOIN,AUCH,BIARRITZ
Journée 21,stade français,BAYONNE,auch,CLERMONT,DAX,castres,BRIVE,biarritz,bourgoin,USAP,STADE TOULOUSAIN,ALBI,montpellier,montauban
Journée 22,AUCH,albi,CASTRES,dax,montpellier,STADE FRANÇAIS,bayonne,USAP,BIARRITZ,stade toulousain,BOURGOIN,brive,MONTAUBAN,clermont
Journée 23,bourgoin,STADE FRANÇAIS,montauban,MONTPELLIER,ALBI,clermont,DAX,BRIVE,castres,BAYONNE,biarritz,auch,usap,STADE TOULOUSAIN
Journée 24,BAYONNE,USAP,albi,BOURGOIN,biarritz,STADE TOULOUSAIN,stade français,montauban,MONTPELLIER,CLERMONT,dax,CASTRES,brive,auch
Journée 25,castres,brive,CLERMONT,stade français,stade toulousain,AUCH,ALBI,bayonne,USAP,montpellier,MONTAUBAN,BIARRITZ,BOURGOIN,dax
Journée 26,montauban,MONTPELLIER,stade toulousain,CASTRES,BRIVE,bourgoin,biarritz,DAX,clermont,ALBI,auch,usap,BAYONNE,STADE FRANÇAIS
