,Albi,Bayonne,Biarritz,Bourgoin,Brive,Castres,Clermont,Montauban,Montpellier,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,USAP
Journée 1,RACING METRO 92,usap,CASTRES,CLERMONT,MONTPELLIER,biarritz,bourgoin,STADE TOULOUSAIN,brive,albi,toulon,montauban,STADE FRANÇAIS,BAYONNE
Journée 2,biarritz,STADE FRANÇAIS,ALBI,castres,stade toulousain,BOURGOIN,MONTAUBAN,clermont,USAP,toulon,bayonne,BRIVE,RACING METRO 92,montpellier
Journée 3,TOULON,racing metro 92,bourgoin,BIARRITZ,CLERMONT,montauban,brive,CASTRES,stade français,BAYONNE,MONTPELLIER,usap,albi,STADE TOULOUSAIN
Journée 4,CASTRES,stade toulousain,montpellier,RACING METRO 92,usap,albi,toulon,stade français,BIARRITZ,bourgoin,MONTAUBAN,BAYONNE,CLERMONT,BRIVE
Journée 5,brive,BOURGOIN,STADE FRANÇAIS,bayonne,ALBI,MONTPELLIER,STADE TOULOUSAIN,TOULON,castres,USAP,biarritz,clermont,montauban,racing metro 92
Journée 6,stade toulousain,biarritz,BAYONNE,USAP,montauban,stade français,RACING METRO 92,BRIVE,TOULON,clermont,CASTRES,ALBI,montpellier,bourgoin
Journée 7,CLERMONT,MONTPELLIER,brive,stade français,BIARRITZ,RACING METRO 92,albi,usap,bayonne,castres,BOURGOIN,toulon,STADE TOULOUSAIN,MONTAUBAN
Journée 8,BAYONNE,albi,TOULON,montauban,CASTRES,brive,usap,BOURGOIN,racing metro 92,MONTPELLIER,stade toulousain,STADE FRANÇAIS,biarritz,CLERMONT
Journée 9,bourgoin,clermont,USAP,ALBI,stade français,TOULON,BAYONNE,racing metro 92,STADE TOULOUSAIN,MONTAUBAN,BRIVE,montpellier,castres,biarritz
Journée 10,montauban,CASTRES,stade toulousain,toulon,RACING METRO 92,bayonne,montpellier,ALBI,CLERMONT,brive,USAP,BIARRITZ,BOURGOIN,stade français
Journée 11,MONTPELLIER,TOULON,montauban,BRIVE,bourgoin,usap,STADE FRANÇAIS,BIARRITZ,albi,STADE TOULOUSAIN,clermont,racing metro 92,bayonne,CASTRES
Journée 12,stade français,brive,RACING METRO 92,stade toulousain,BAYONNE,CLERMONT,castres,montpellier,MONTAUBAN,biarritz,ALBI,BOURGOIN,usap,TOULON
Journée 13,USAP,MONTAUBAN,clermont,MONTPELLIER,toulon,STADE TOULOUSAIN,BIARRITZ,bayonne,bourgoin,STADE FRANÇAIS,racing metro 92,castres,BRIVE,albi
Journée 14,racing metro 92,USAP,castres,clermont,montpellier,BIARRITZ,BOURGOIN,stade toulousain,BRIVE,ALBI,TOULON,MONTAUBAN,stade français,bayonne
Journée 15,BIARRITZ,stade français,albi,CASTRES,STADE TOULOUSAIN,bourgoin,montauban,CLERMONT,usap,TOULON,BAYONNE,brive,racing metro 92,MONTPELLIER
Journée 16,toulon,RACING METRO 92,BOURGOIN,biarritz,clermont,MONTAUBAN,BRIVE,castres,STADE FRANÇAIS,bayonne,montpellier,USAP,ALBI,stade toulousain
Journée 17,castres,STADE TOULOUSAIN,MONTPELLIER,racing metro 92,USAP,ALBI,TOULON,STADE FRANÇAIS,biarritz,BOURGOIN,montauban,bayonne,clermont,brive
Journée 18,BRIVE,bourgoin,stade français,BAYONNE,albi,montpellier,stade toulousain,toulon,CASTRES,usap,BIARRITZ,CLERMONT,MONTAUBAN,RACING METRO 92
Journée 19,STADE TOULOUSAIN,BIARRITZ,bayonne,usap,MONTAUBAN,STADE FRANÇAIS,racing metro 92,brive,toulon,CLERMONT,castres,albi,MONTPELLIER,BOURGOIN
Journée 20,clermont,montpellier,BRIVE,STADE FRANÇAIS,biarritz,racing metro 92,ALBI,USAP,BAYONNE,CASTRES,bourgoin,TOULON,stade toulousain,montauban
Journée 21,bayonne,ALBI,toulon,MONTAUBAN,castres,BRIVE,USAP,bourgoin,RACING METRO 92,montpellier,STADE TOULOUSAIN,stade français,BIARRITZ,clermont
Journée 22,BOURGOIN,CLERMONT,usap,albi,STADE FRANÇAIS,toulon,bayonne,RACING METRO 92,stade toulousain,montauban,brive,MONTPELLIER,CASTRES,BIARRITZ
Journée 23,MONTAUBAN,castres,STADE TOULOUSAIN,TOULON,racing metro 92,BAYONNE,MONTPELLIER,albi,clermont,BRIVE,usap,biarritz,bourgoin,STADE FRANÇAIS
Journée 24,montpellier,toulon,MONTAUBAN,brive,BOURGOIN,USAP,stade français,biarritz,ALBI,stade toulousain,CLERMONT,RACING METRO 92,BAYONNE,castres
Journée 25,STADE FRANÇAIS,BRIVE,racing metro 92,STADE TOULOUSAIN,bayonne,clermont,CASTRES,MONTPELLIER,montauban,BIARRITZ,albi,bourgoin,USAP,toulon
Journée 26,usap,montauban,CLERMONT,montpellier,TOULON,stade toulousain,biarritz,BAYONNE,BOURGOIN,stade français,RACING METRO 92,CASTRES,brive,ALBI
