,Agen,Bayonne,Biarritz,Bourgoin,Brive,Castres,Clermont,La Rochelle,Montpellier,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,USAP
Journée 1,stade toulousain,toulon,MONTPELLIER,stade français,RACING METRO 92,la rochelle,usap,CASTRES,biarritz,brive,BOURGOIN,AGEN,BAYONNE,CLERMONT
Journée 2,bayonne,AGEN,TOULON,CLERMONT,USAP,STADE TOULOUSAIN,bourgoin,stade français,RACING METRO 92,montpellier,LA ROCHELLE,castres,biarritz,brive
Journée 3,BIARRITZ,castres,agen,la rochelle,clermont,BAYONNE,BRIVE,BOURGOIN,usap,toulon,stade toulousain,STADE FRANÇAIS,RACING METRO 92,MONTPELLIER
Journée 4,bourgoin,BRIVE,usap,AGEN,bayonne,stade français,racing metro 92,TOULON,STADE TOULOUSAIN,CLERMONT,CASTRES,montpellier,la rochelle,BIARRITZ
Journée 5,USAP,bourgoin,STADE FRANÇAIS,BAYONNE,TOULON,RACING METRO 92,MONTPELLIER,stade toulousain,clermont,castres,biarritz,LA ROCHELLE,brive,agen
Journée 6,toulon,CLERMONT,STADE TOULOUSAIN,usap,stade français,montpellier,bayonne,racing metro 92,CASTRES,LA ROCHELLE,BRIVE,biarritz,AGEN,BOURGOIN
Journée 7,MONTPELLIER,stade toulousain,la rochelle,racing metro 92,castres,BRIVE,toulon,BIARRITZ,agen,BOURGOIN,usap,BAYONNE,CLERMONT,STADE FRANÇAIS
Journée 8,STADE FRANÇAIS,USAP,racing metro 92,TOULON,STADE TOULOUSAIN,clermont,CASTRES,montpellier,LA ROCHELLE,BIARRITZ,agen,brive,bourgoin,bayonne
Journée 9,clermont,BIARRITZ,bayonne,BRIVE,bourgoin,toulon,AGEN,usap,stade français,stade toulousain,MONTPELLIER,RACING METRO 92,CASTRES,LA ROCHELLE
Journée 10,castres,racing metro 92,CLERMONT,montpellier,la rochelle,AGEN,biarritz,BRIVE,BOURGOIN,BAYONNE,TOULON,USAP,stade français,stade toulousain
Journée 11,LA ROCHELLE,MONTPELLIER,brive,castres,BIARRITZ,BOURGOIN,STADE FRANÇAIS,agen,bayonne,USAP,clermont,TOULON,stade toulousain,racing metro 92
Journée 12,RACING METRO 92,stade français,CASTRES,STADE TOULOUSAIN,montpellier,biarritz,la rochelle,CLERMONT,BRIVE,agen,BAYONNE,bourgoin,usap,TOULON
Journée 13,brive,LA ROCHELLE,BOURGOIN,biarritz,AGEN,USAP,STADE TOULOUSAIN,bayonne,toulon,STADE FRANÇAIS,racing metro 92,clermont,MONTPELLIER,castres
Journée 14,STADE TOULOUSAIN,TOULON,montpellier,STADE FRANÇAIS,racing metro 92,LA ROCHELLE,USAP,castres,BIARRITZ,BRIVE,bourgoin,agen,bayonne,clermont
Journée 15,BAYONNE,agen,toulon,clermont,usap,stade toulousain,BOURGOIN,STADE FRANÇAIS,racing metro 92,MONTPELLIER,la rochelle,CASTRES,BIARRITZ,BRIVE
Journée 16,biarritz,CASTRES,AGEN,LA ROCHELLE,CLERMONT,bayonne,brive,bourgoin,USAP,TOULON,STADE TOULOUSAIN,stade français,racing metro 92,montpellier
Journée 17,BOURGOIN,brive,USAP,agen,BAYONNE,STADE FRANÇAIS,RACING METRO 92,toulon,stade toulousain,clermont,castres,MONTPELLIER,LA ROCHELLE,biarritz
Journée 18,usap,BOURGOIN,stade français,bayonne,toulon,racing metro 92,montpellier,STADE TOULOUSAIN,CLERMONT,CASTRES,BIARRITZ,la rochelle,BRIVE,AGEN
Journée 19,TOULON,clermont,stade toulousain,USAP,STADE FRANÇAIS,MONTPELLIER,BAYONNE,RACING METRO 92,castres,la rochelle,brive,BIARRITZ,agen,bourgoin
Journée 20,montpellier,STADE TOULOUSAIN,LA ROCHELLE,RACING METRO 92,CASTRES,brive,TOULON,biarritz,AGEN,bourgoin,USAP,bayonne,clermont,stade français
Journée 21,stade français,usap,RACING METRO 92,toulon,stade toulousain,CLERMONT,castres,MONTPELLIER,la rochelle,biarritz,AGEN,BRIVE,BOURGOIN,BAYONNE
Journée 22,CLERMONT,biarritz,BAYONNE,brive,BOURGOIN,TOULON,agen,USAP,STADE FRANÇAIS,STADE TOULOUSAIN,montpellier,racing metro 92,castres,la rochelle
Journée 23,CASTRES,RACING METRO 92,clermont,MONTPELLIER,LA ROCHELLE,agen,BIARRITZ,brive,bourgoin,bayonne,toulon,usap,STADE FRANÇAIS,STADE TOULOUSAIN
Journée 24,la rochelle,montpellier,BRIVE,CASTRES,biarritz,bourgoin,stade français,AGEN,BAYONNE,usap,CLERMONT,toulon,STADE TOULOUSAIN,RACING METRO 92
Journée 25,racing metro 92,STADE FRANÇAIS,castres,stade toulousain,MONTPELLIER,BIARRITZ,LA ROCHELLE,clermont,brive,AGEN,bayonne,BOURGOIN,USAP,toulon
Journée 26,BRIVE,la rochelle,bourgoin,BIARRITZ,agen,usap,stade toulousain,BAYONNE,TOULON,stade français,RACING METRO 92,CLERMONT,montpellier,CASTRES
