,Agen,Bayonne,Biarritz,Brive,Castres,Clermont,LOU,Montpellier,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,USAP,Union Bordeaux Bègles
Journée 1,brive,STADE TOULOUSAIN,toulon,AGEN,usap,LOU,clermont,racing metro 92,MONTPELLIER,UNION BORDEAUX BÈGLES,bayonne,BIARRITZ,CASTRES,stade français
Journée 2,biarritz,union bordeaux bègles,AGEN,montpellier,STADE FRANÇAIS,toulon,STADE TOULOUSAIN,BRIVE,USAP,castres,lou,CLERMONT,racing metro 92,BAYONNE
Journée 3,LOU,TOULON,CASTRES,usap,biarritz,UNION BORDEAUX BÈGLES,agen,stade français,stade toulousain,MONTPELLIER,RACING METRO 92,bayonne,BRIVE,clermont
Journée 4,castres,stade français,stade toulousain,LOU,AGEN,racing metro 92,brive,usap,CLERMONT,BAYONNE,BIARRITZ,union bordeaux bègles,MONTPELLIER,TOULON
Journée 5,STADE TOULOUSAIN,clermont,USAP,castres,BRIVE,BAYONNE,racing metro 92,UNION BORDEAUX BÈGLES,LOU,toulon,agen,STADE FRANÇAIS,biarritz,montpellier
Journée 6,usap,RACING METRO 92,union bordeaux bègles,stade français,lou,stade toulousain,CASTRES,TOULON,bayonne,BRIVE,CLERMONT,montpellier,AGEN,BIARRITZ
Journée 7,clermont,MONTPELLIER,brive,BIARRITZ,STADE TOULOUSAIN,AGEN,STADE FRANÇAIS,bayonne,union bordeaux bègles,lou,castres,USAP,toulon,RACING METRO 92
Journée 8,STADE FRANÇAIS,brive,LOU,BAYONNE,montpellier,usap,biarritz,CASTRES,TOULON,agen,UNION BORDEAUX BÈGLES,racing metro 92,CLERMONT,stade toulousain
Journée 9,MONTPELLIER,USAP,clermont,toulon,RACING METRO 92,BIARRITZ,union bordeaux bègles,agen,castres,stade toulousain,STADE FRANÇAIS,BRIVE,bayonne,LOU
Journée 10,toulon,biarritz,BAYONNE,RACING METRO 92,union bordeaux bègles,stade français,MONTPELLIER,lou,brive,CLERMONT,USAP,AGEN,stade toulousain,CASTRES
Journée 11,UNION BORDEAUX BÈGLES,LOU,racing metro 92,STADE TOULOUSAIN,TOULON,montpellier,bayonne,CLERMONT,BIARRITZ,usap,brive,castres,STADE FRANÇAIS,agen
Journée 12,BAYONNE,agen,MONTPELLIER,union bordeaux bègles,clermont,CASTRES,USAP,biarritz,stade français,RACING METRO 92,TOULON,stade toulousain,lou,BRIVE
Journée 13,racing metro 92,CASTRES,stade français,CLERMONT,bayonne,brive,toulon,STADE TOULOUSAIN,AGEN,BIARRITZ,montpellier,LOU,UNION BORDEAUX BÈGLES,usap
Journée 14,BRIVE,stade toulousain,TOULON,agen,USAP,lou,CLERMONT,RACING METRO 92,montpellier,union bordeaux bègles,BAYONNE,biarritz,castres,STADE FRANÇAIS
Journée 15,BIARRITZ,UNION BORDEAUX BÈGLES,agen,MONTPELLIER,stade français,TOULON,stade toulousain,brive,usap,CASTRES,LOU,clermont,RACING METRO 92,bayonne
Journée 16,lou,toulon,castres,USAP,BIARRITZ,union bordeaux bègles,AGEN,STADE FRANÇAIS,STADE TOULOUSAIN,montpellier,racing metro 92,BAYONNE,brive,CLERMONT
Journée 17,CASTRES,STADE FRANÇAIS,STADE TOULOUSAIN,lou,agen,RACING METRO 92,BRIVE,USAP,clermont,bayonne,biarritz,UNION BORDEAUX BÈGLES,montpellier,toulon
Journée 18,stade toulousain,CLERMONT,usap,CASTRES,brive,bayonne,RACING METRO 92,union bordeaux bègles,lou,TOULON,AGEN,stade français,BIARRITZ,MONTPELLIER
Journée 19,USAP,racing metro 92,UNION BORDEAUX BÈGLES,STADE FRANÇAIS,LOU,STADE TOULOUSAIN,castres,toulon,BAYONNE,brive,clermont,MONTPELLIER,agen,biarritz
Journée 20,CLERMONT,montpellier,BRIVE,biarritz,stade toulousain,agen,stade français,BAYONNE,UNION BORDEAUX BÈGLES,LOU,CASTRES,usap,TOULON,racing metro 92
Journée 21,stade français,BRIVE,lou,bayonne,MONTPELLIER,USAP,BIARRITZ,castres,toulon,AGEN,union bordeaux bègles,RACING METRO 92,clermont,STADE TOULOUSAIN
Journée 22,montpellier,usap,CLERMONT,TOULON,racing metro 92,biarritz,UNION BORDEAUX BÈGLES,AGEN,CASTRES,STADE TOULOUSAIN,stade français,brive,BAYONNE,lou
Journée 23,TOULON,BIARRITZ,bayonne,racing metro 92,UNION BORDEAUX BÈGLES,STADE FRANÇAIS,montpellier,LOU,BRIVE,clermont,usap,agen,STADE TOULOUSAIN,castres
Journée 24,union bordeaux bègles,lou,RACING METRO 92,stade toulousain,toulon,MONTPELLIER,BAYONNE,clermont,biarritz,USAP,BRIVE,CASTRES,stade français,AGEN
Journée 25,bayonne,AGEN,montpellier,UNION BORDEAUX BÈGLES,CLERMONT,castres,usap,BIARRITZ,STADE FRANÇAIS,racing metro 92,toulon,STADE TOULOUSAIN,LOU,brive
Journée 26,RACING METRO 92,castres,STADE FRANÇAIS,clermont,BAYONNE,BRIVE,TOULON,stade toulousain,agen,biarritz,MONTPELLIER,lou,union bordeaux bègles,USAP
