,Agen,Bayonne,Biarritz,Castres,Clermont,Grenoble,Mont de Marsan,Montpellier,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,USAP,Union Bordeaux Bègles
Journée 1,RACING METRO 92,CLERMONT,MONT DE MARSAN,stade toulousain,bayonne,union bordeaux bègles,biarritz,stade français,agen,MONTPELLIER,CASTRES,usap,TOULON,GRENOBLE
Journée 2,BIARRITZ,STADE FRANÇAIS,agen,GRENOBLE,montpellier,castres,stade toulousain,CLERMONT,TOULON,bayonne,MONT DE MARSAN,racing metro 92,union bordeaux bègles,USAP
Journée 3,montpellier,castres,STADE TOULOUSAIN,BAYONNE,USAP,STADE FRANÇAIS,TOULON,AGEN,UNION BORDEAUX BÈGLES,grenoble,biarritz,mont de marsan,clermont,racing metro 92
Journée 4,stade toulousain,usap,MONTPELLIER,stade français,RACING METRO 92,MONT DE MARSAN,grenoble,biarritz,clermont,CASTRES,AGEN,UNION BORDEAUX BÈGLES,BAYONNE,toulon
Journée 5,GRENOBLE,RACING METRO 92,castres,BIARRITZ,mont de marsan,agen,CLERMONT,TOULON,bayonne,union bordeaux bègles,usap,montpellier,STADE TOULOUSAIN,STADE FRANÇAIS
Journée 6,mont de marsan,STADE TOULOUSAIN,racing metro 92,toulon,GRENOBLE,clermont,AGEN,union bordeaux bègles,BIARRITZ,USAP,bayonne,CASTRES,stade français,MONTPELLIER
Journée 7,UNION BORDEAUX BÈGLES,biarritz,BAYONNE,montpellier,STADE FRANÇAIS,RACING METRO 92,usap,CASTRES,grenoble,clermont,TOULON,stade toulousain,MONT DE MARSAN,agen
Journée 8,bayonne,AGEN,TOULON,CLERMONT,castres,USAP,STADE FRANÇAIS,racing metro 92,MONTPELLIER,mont de marsan,union bordeaux bègles,biarritz,grenoble,STADE TOULOUSAIN
Journée 9,CASTRES,toulon,clermont,agen,BIARRITZ,montpellier,UNION BORDEAUX BÈGLES,GRENOBLE,usap,STADE TOULOUSAIN,stade français,BAYONNE,RACING METRO 92,mont de marsan
Journée 10,CLERMONT,UNION BORDEAUX BÈGLES,grenoble,USAP,agen,BIARRITZ,montpellier,MONT DE MARSAN,stade toulousain,toulon,RACING METRO 92,STADE FRANÇAIS,castres,bayonne
Journée 11,stade français,grenoble,USAP,union bordeaux bègles,TOULON,BAYONNE,racing metro 92,stade toulousain,MONT DE MARSAN,AGEN,MONTPELLIER,clermont,biarritz,CASTRES
Journée 12,usap,montpellier,UNION BORDEAUX BÈGLES,mont de marsan,stade toulousain,toulon,CASTRES,BAYONNE,STADE FRANÇAIS,racing metro 92,CLERMONT,GRENOBLE,AGEN,biarritz
Journée 13,TOULON,MONT DE MARSAN,stade français,RACING METRO 92,union bordeaux bègles,STADE TOULOUSAIN,bayonne,usap,castres,BIARRITZ,grenoble,agen,MONTPELLIER,CLERMONT
Journée 14,racing metro 92,clermont,mont de marsan,STADE TOULOUSAIN,BAYONNE,UNION BORDEAUX BÈGLES,BIARRITZ,STADE FRANÇAIS,AGEN,montpellier,castres,USAP,toulon,grenoble
Journée 15,biarritz,stade français,AGEN,grenoble,MONTPELLIER,CASTRES,STADE TOULOUSAIN,clermont,toulon,BAYONNE,mont de marsan,RACING METRO 92,UNION BORDEAUX BÈGLES,usap
Journée 16,MONTPELLIER,CASTRES,stade toulousain,bayonne,usap,stade français,toulon,agen,union bordeaux bègles,GRENOBLE,BIARRITZ,MONT DE MARSAN,CLERMONT,RACING METRO 92
Journée 17,STADE TOULOUSAIN,USAP,montpellier,STADE FRANÇAIS,racing metro 92,mont de marsan,GRENOBLE,BIARRITZ,CLERMONT,castres,agen,union bordeaux bègles,bayonne,TOULON
Journée 18,grenoble,racing metro 92,CASTRES,biarritz,MONT DE MARSAN,AGEN,clermont,toulon,BAYONNE,UNION BORDEAUX BÈGLES,USAP,MONTPELLIER,stade toulousain,stade français
Journée 19,MONT DE MARSAN,stade toulousain,RACING METRO 92,TOULON,grenoble,CLERMONT,agen,UNION BORDEAUX BÈGLES,biarritz,usap,BAYONNE,castres,STADE FRANÇAIS,montpellier
Journée 20,union bordeaux bègles,BIARRITZ,bayonne,MONTPELLIER,stade français,racing metro 92,USAP,castres,GRENOBLE,CLERMONT,toulon,STADE TOULOUSAIN,mont de marsan,AGEN
Journée 21,BAYONNE,agen,toulon,clermont,CASTRES,usap,stade français,RACING METRO 92,montpellier,MONT DE MARSAN,UNION BORDEAUX BÈGLES,BIARRITZ,GRENOBLE,stade toulousain
Journée 22,castres,TOULON,CLERMONT,AGEN,biarritz,MONTPELLIER,union bordeaux bègles,grenoble,USAP,stade toulousain,STADE FRANÇAIS,bayonne,racing metro 92,MONT DE MARSAN
Journée 23,clermont,union bordeaux bègles,GRENOBLE,usap,AGEN,biarritz,MONTPELLIER,mont de marsan,STADE TOULOUSAIN,TOULON,racing metro 92,stade français,CASTRES,BAYONNE
Journée 24,STADE FRANÇAIS,GRENOBLE,usap,UNION BORDEAUX BÈGLES,toulon,bayonne,RACING METRO 92,STADE TOULOUSAIN,mont de marsan,agen,montpellier,CLERMONT,BIARRITZ,castres
Journée 25,USAP,MONTPELLIER,union bordeaux bègles,MONT DE MARSAN,STADE TOULOUSAIN,TOULON,castres,bayonne,stade français,RACING METRO 92,clermont,grenoble,agen,BIARRITZ
Journée 26,toulon,mont de marsan,STADE FRANÇAIS,racing metro 92,UNION BORDEAUX BÈGLES,stade toulousain,BAYONNE,USAP,CASTRES,biarritz,GRENOBLE,AGEN,montpellier,clermont
