,Bayonne,Biarritz,Brive,Castres,Clermont,Grenoble,Montpellier,Oyonnax,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,USAP,Union Bordeaux Bègles
Journée 1,OYONNAX,CLERMONT,racing metro 92,usap,biarritz,STADE FRANÇAIS,TOULON,bayonne,BRIVE,grenoble,union bordeaux bègles,montpellier,CASTRES,STADE TOULOUSAIN
Journée 2,stade toulousain,MONTPELLIER,UNION BORDEAUX BÈGLES,GRENOBLE,oyonnax,castres,biarritz,CLERMONT,toulon,usap,BAYONNE,RACING METRO 92,STADE FRANÇAIS,brive
Journée 3,USAP,stade français,montpellier,union bordeaux bègles,STADE TOULOUSAIN,TOULON,BRIVE,racing metro 92,OYONNAX,BIARRITZ,clermont,grenoble,bayonne,CASTRES
Journée 4,clermont,oyonnax,toulon,STADE FRANÇAIS,BAYONNE,usap,union bordeaux bègles,BIARRITZ,stade toulousain,castres,RACING METRO 92,BRIVE,GRENOBLE,MONTPELLIER
Journée 5,brive,TOULON,BAYONNE,oyonnax,stade français,UNION BORDEAUX BÈGLES,STADE TOULOUSAIN,CASTRES,USAP,CLERMONT,montpellier,biarritz,racing metro 92,grenoble
Journée 6,RACING METRO 92,stade toulousain,stade français,TOULON,GRENOBLE,clermont,usap,union bordeaux bègles,bayonne,BRIVE,BIARRITZ,castres,MONTPELLIER,OYONNAX
Journée 7,toulon,GRENOBLE,USAP,stade toulousain,montpellier,biarritz,CLERMONT,STADE FRANÇAIS,UNION BORDEAUX BÈGLES,oyonnax,CASTRES,BAYONNE,brive,racing metro 92
Journée 8,BIARRITZ,bayonne,grenoble,RACING METRO 92,UNION BORDEAUX BÈGLES,BRIVE,stade français,TOULON,castres,MONTPELLIER,usap,oyonnax,STADE TOULOUSAIN,clermont
Journée 9,union bordeaux bègles,USAP,CASTRES,brive,toulon,racing metro 92,OYONNAX,montpellier,GRENOBLE,stade toulousain,STADE FRANÇAIS,CLERMONT,biarritz,BAYONNE
Journée 10,MONTPELLIER,castres,clermont,BIARRITZ,BRIVE,OYONNAX,bayonne,grenoble,STADE FRANÇAIS,racing metro 92,TOULON,stade toulousain,UNION BORDEAUX BÈGLES,usap
Journée 11,stade français,RACING METRO 92,STADE TOULOUSAIN,CLERMONT,castres,montpellier,GRENOBLE,USAP,biarritz,BAYONNE,brive,UNION BORDEAUX BÈGLES,oyonnax,toulon
Journée 12,GRENOBLE,brive,BIARRITZ,montpellier,RACING METRO 92,bayonne,CASTRES,stade toulousain,clermont,union bordeaux bègles,OYONNAX,USAP,toulon,STADE FRANÇAIS
Journée 13,castres,UNION BORDEAUX BÈGLES,oyonnax,BAYONNE,usap,STADE TOULOUSAIN,racing metro 92,BRIVE,MONTPELLIER,TOULON,grenoble,stade français,CLERMONT,biarritz
Journée 14,oyonnax,clermont,RACING METRO 92,USAP,BIARRITZ,stade français,toulon,BAYONNE,brive,GRENOBLE,UNION BORDEAUX BÈGLES,MONTPELLIER,castres,stade toulousain
Journée 15,STADE TOULOUSAIN,montpellier,union bordeaux bègles,grenoble,OYONNAX,CASTRES,BIARRITZ,clermont,TOULON,USAP,bayonne,racing metro 92,stade français,BRIVE
Journée 16,usap,STADE FRANÇAIS,MONTPELLIER,UNION BORDEAUX BÈGLES,stade toulousain,toulon,brive,RACING METRO 92,oyonnax,biarritz,CLERMONT,GRENOBLE,BAYONNE,castres
Journée 17,CLERMONT,OYONNAX,TOULON,stade français,bayonne,USAP,UNION BORDEAUX BÈGLES,biarritz,STADE TOULOUSAIN,CASTRES,racing metro 92,brive,grenoble,montpellier
Journée 18,BRIVE,toulon,bayonne,OYONNAX,STADE FRANÇAIS,union bordeaux bègles,stade toulousain,castres,usap,clermont,MONTPELLIER,BIARRITZ,RACING METRO 92,GRENOBLE
Journée 19,racing metro 92,STADE TOULOUSAIN,STADE FRANÇAIS,toulon,grenoble,CLERMONT,USAP,UNION BORDEAUX BÈGLES,BAYONNE,brive,biarritz,CASTRES,montpellier,oyonnax
Journée 20,TOULON,grenoble,usap,STADE TOULOUSAIN,MONTPELLIER,BIARRITZ,clermont,stade français,union bordeaux bègles,OYONNAX,castres,bayonne,BRIVE,RACING METRO 92
Journée 21,biarritz,BAYONNE,GRENOBLE,racing metro 92,union bordeaux bègles,brive,STADE FRANÇAIS,toulon,CASTRES,montpellier,USAP,OYONNAX,stade toulousain,CLERMONT
Journée 22,UNION BORDEAUX BÈGLES,usap,castres,BRIVE,TOULON,RACING METRO 92,oyonnax,MONTPELLIER,grenoble,STADE TOULOUSAIN,stade français,clermont,BIARRITZ,bayonne
Journée 23,montpellier,CASTRES,CLERMONT,biarritz,brive,oyonnax,BAYONNE,GRENOBLE,stade français,RACING METRO 92,toulon,STADE TOULOUSAIN,union bordeaux bègles,USAP
Journée 24,STADE FRANÇAIS,racing metro 92,stade toulousain,clermont,CASTRES,MONTPELLIER,grenoble,usap,BIARRITZ,bayonne,BRIVE,union bordeaux bègles,OYONNAX,TOULON
Journée 25,grenoble,BRIVE,biarritz,MONTPELLIER,racing metro 92,BAYONNE,castres,STADE TOULOUSAIN,CLERMONT,UNION BORDEAUX BÈGLES,oyonnax,usap,TOULON,stade français
Journée 26,CASTRES,union bordeaux bègles,OYONNAX,bayonne,USAP,stade toulousain,RACING METRO 92,brive,montpellier,toulon,GRENOBLE,STADE FRANÇAIS,clermont,BIARRITZ
