,Bayonne,Brive,Castres,Clermont,Grenoble,LOU,La Rochelle,Montpellier,Oyonnax,Racing Metro 92,Stade Français,Stade Toulousain,Toulon,Union Bordeaux Bègles
Journée 1,TOULON,LA ROCHELLE,STADE FRANÇAIS,GRENOBLE,clermont,union bordeaux bègles,brive,RACING METRO 92,stade toulousain,montpellier,castres,OYONNAX,bayonne,LOU
Journée 2,OYONNAX,CLERMONT,stade toulousain,brive,montpellier,stade français,toulon,GRENOBLE,bayonne,union bordeaux bègles,LOU,CASTRES,LA ROCHELLE,RACING METRO 92
Journée 3,castres,lou,BAYONNE,MONTPELLIER,UNION BORDEAUX BÈGLES,BRIVE,STADE TOULOUSAIN,clermont,STADE FRANÇAIS,TOULON,oyonnax,la rochelle,racing metro 92,grenoble
Journée 4,stade français,STADE TOULOUSAIN,montpellier,RACING METRO 92,LA ROCHELLE,OYONNAX,grenoble,CASTRES,lou,clermont,BAYONNE,brive,UNION BORDEAUX BÈGLES,toulon
Journée 5,BRIVE,bayonne,la rochelle,stade toulousain,oyonnax,racing metro 92,CASTRES,union bordeaux bègles,GRENOBLE,LOU,toulon,CLERMONT,STADE FRANÇAIS,MONTPELLIER
Journée 6,grenoble,TOULON,OYONNAX,LOU,BAYONNE,clermont,UNION BORDEAUX BÈGLES,STADE FRANÇAIS,castres,STADE TOULOUSAIN,montpellier,racing metro 92,brive,la rochelle
Journée 7,STADE TOULOUSAIN,UNION BORDEAUX BÈGLES,lou,oyonnax,RACING METRO 92,CASTRES,stade français,toulon,CLERMONT,grenoble,LA ROCHELLE,bayonne,MONTPELLIER,brive
Journée 8,MONTPELLIER,racing metro 92,GRENOBLE,union bordeaux bègles,castres,la rochelle,LOU,bayonne,TOULON,BRIVE,stade toulousain,STADE FRANÇAIS,oyonnax,CLERMONT
Journée 9,lou,grenoble,union bordeaux bègles,LA ROCHELLE,BRIVE,BAYONNE,clermont,OYONNAX,montpellier,stade français,RACING METRO 92,TOULON,stade toulousain,CASTRES
Journée 10,CLERMONT,CASTRES,brive,bayonne,toulon,STADE TOULOUSAIN,MONTPELLIER,la rochelle,racing metro 92,OYONNAX,UNION BORDEAUX BÈGLES,lou,GRENOBLE,stade français
Journée 11,racing metro 92,montpellier,TOULON,STADE FRANÇAIS,LOU,grenoble,oyonnax,BRIVE,LA ROCHELLE,BAYONNE,clermont,union bordeaux bègles,castres,STADE TOULOUSAIN
Journée 12,la rochelle,stade français,RACING METRO 92,toulon,stade toulousain,MONTPELLIER,BAYONNE,lou,UNION BORDEAUX BÈGLES,castres,BRIVE,GRENOBLE,CLERMONT,oyonnax
Journée 13,UNION BORDEAUX BÈGLES,OYONNAX,clermont,CASTRES,STADE FRANÇAIS,toulon,racing metro 92,STADE TOULOUSAIN,brive,LA ROCHELLE,grenoble,montpellier,LOU,bayonne
Journée 14,oyonnax,union bordeaux bègles,MONTPELLIER,lou,la rochelle,CLERMONT,GRENOBLE,castres,BAYONNE,stade toulousain,TOULON,RACING METRO 92,stade français,BRIVE
Journée 15,brive,BAYONNE,LA ROCHELLE,STADE TOULOUSAIN,OYONNAX,STADE FRANÇAIS,castres,TOULON,grenoble,UNION BORDEAUX BÈGLES,lou,clermont,montpellier,racing metro 92
Journée 16,LOU,clermont,stade français,BRIVE,union bordeaux bègles,bayonne,stade toulousain,oyonnax,MONTPELLIER,toulon,CASTRES,LA ROCHELLE,RACING METRO 92,GRENOBLE
Journée 17,toulon,GRENOBLE,STADE TOULOUSAIN,la rochelle,brive,RACING METRO 92,CLERMONT,UNION BORDEAUX BÈGLES,stade français,lou,OYONNAX,castres,BAYONNE,montpellier
Journée 18,STADE FRANÇAIS,la rochelle,oyonnax,racing metro 92,MONTPELLIER,stade toulousain,BRIVE,grenoble,CASTRES,CLERMONT,bayonne,LOU,union bordeaux bègles,TOULON
Journée 19,clermont,toulon,LOU,BAYONNE,racing metro 92,castres,montpellier,LA ROCHELLE,STADE TOULOUSAIN,GRENOBLE,union bordeaux bègles,oyonnax,BRIVE,STADE FRANÇAIS
Journée 20,CASTRES,RACING METRO 92,bayonne,UNION BORDEAUX BÈGLES,stade français,TOULON,OYONNAX,stade toulousain,la rochelle,brive,GRENOBLE,MONTPELLIER,lou,clermont
Journée 21,RACING METRO 92,oyonnax,grenoble,stade français,CASTRES,montpellier,union bordeaux bègles,LOU,BRIVE,bayonne,CLERMONT,toulon,STADE TOULOUSAIN,LA ROCHELLE
Journée 22,stade toulousain,LOU,UNION BORDEAUX BÈGLES,OYONNAX,TOULON,brive,STADE FRANÇAIS,racing metro 92,clermont,MONTPELLIER,la rochelle,BAYONNE,grenoble,castres
Journée 23,GRENOBLE,MONTPELLIER,CLERMONT,castres,bayonne,UNION BORDEAUX BÈGLES,TOULON,brive,RACING METRO 92,oyonnax,STADE TOULOUSAIN,stade français,la rochelle,lou
Journée 24,montpellier,stade toulousain,toulon,grenoble,CLERMONT,LA ROCHELLE,lou,BAYONNE,union bordeaux bègles,STADE FRANÇAIS,racing metro 92,BRIVE,CASTRES,OYONNAX
Journée 25,union bordeaux bègles,castres,BRIVE,TOULON,STADE TOULOUSAIN,oyonnax,RACING METRO 92,stade français,LOU,la rochelle,MONTPELLIER,grenoble,clermont,BAYONNE
Journée 26,LA ROCHELLE,STADE FRANÇAIS,racing metro 92,montpellier,lou,GRENOBLE,bayonne,CLERMONT,toulon,CASTRES,brive,UNION BORDEAUX BÈGLES,OYONNAX,stade toulousain
