,Agen,Brive,Castres,Clermont,Grenoble,La Rochelle,Montpellier,Oyonnax,Pau,Racing 92,Stade Français,Stade Toulousain,Toulon,Union Bordeaux Bègles
Journée 1,grenoble,stade toulousain,union bordeaux bègles,la rochelle,AGEN,CLERMONT,OYONNAX,montpellier,stade français,toulon,PAU,BRIVE,RACING 92,CASTRES
Journée 2,STADE TOULOUSAIN,STADE FRANÇAIS,TOULON,GRENOBLE,clermont,racing 92,pau,UNION BORDEAUX BÈGLES,MONTPELLIER,LA ROCHELLE,brive,agen,castres,oyonnax
Journée 3,RACING 92,la rochelle,stade toulousain,oyonnax,PAU,BRIVE,union bordeaux bègles,CLERMONT,grenoble,agen,TOULON,CASTRES,stade français,MONTPELLIER
Journée 4,brive,AGEN,OYONNAX,UNION BORDEAUX BÈGLES,racing 92,toulon,STADE FRANÇAIS,castres,STADE TOULOUSAIN,GRENOBLE,montpellier,pau,LA ROCHELLE,clermont
Journée 5,UNION BORDEAUX BÈGLES,TOULON,stade français,PAU,MONTPELLIER,stade toulousain,grenoble,RACING 92,clermont,oyonnax,CASTRES,LA ROCHELLE,brive,agen
Journée 6,la rochelle,pau,GRENOBLE,montpellier,castres,AGEN,CLERMONT,toulon,BRIVE,STADE FRANÇAIS,racing 92,union bordeaux bègles,OYONNAX,STADE TOULOUSAIN
Journée 7,STADE FRANÇAIS,racing 92,clermont,CASTRES,TOULON,union bordeaux bègles,STADE TOULOUSAIN,PAU,oyonnax,BRIVE,agen,montpellier,grenoble,LA ROCHELLE
Journée 8,pau,UNION BORDEAUX BÈGLES,RACING 92,stade français,stade toulousain,OYONNAX,toulon,la rochelle,AGEN,castres,CLERMONT,GRENOBLE,MONTPELLIER,brive
Journée 9,CASTRES,oyonnax,agen,TOULON,STADE FRANÇAIS,montpellier,LA ROCHELLE,BRIVE,union bordeaux bègles,STADE TOULOUSAIN,grenoble,racing 92,clermont,PAU
Journée 10,toulon,CLERMONT,MONTPELLIER,brive,la rochelle,GRENOBLE,castres,stade toulousain,RACING 92,pau,UNION BORDEAUX BÈGLES,OYONNAX,AGEN,stade français
Journée 11,montpellier,castres,BRIVE,RACING 92,union bordeaux bègles,pau,AGEN,STADE FRANÇAIS,LA ROCHELLE,clermont,oyonnax,TOULON,stade toulousain,GRENOBLE
Journée 12,CLERMONT,MONTPELLIER,la rochelle,agen,OYONNAX,CASTRES,brive,grenoble,toulon,UNION BORDEAUX BÈGLES,STADE TOULOUSAIN,stade français,PAU,racing 92
Journée 13,oyonnax,grenoble,pau,STADE TOULOUSAIN,BRIVE,stade français,RACING 92,AGEN,CASTRES,montpellier,LA ROCHELLE,clermont,union bordeaux bègles,TOULON
Journée 14,GRENOBLE,LA ROCHELLE,UNION BORDEAUX BÈGLES,MONTPELLIER,agen,brive,clermont,racing 92,stade toulousain,OYONNAX,toulon,PAU,STADE FRANÇAIS,castres
Journée 15,union bordeaux bègles,stade français,CLERMONT,castres,RACING 92,STADE TOULOUSAIN,PAU,TOULON,montpellier,grenoble,BRIVE,la rochelle,oyonnax,AGEN
Journée 16,LA ROCHELLE,toulon,racing 92,OYONNAX,stade français,agen,stade toulousain,clermont,UNION BORDEAUX BÈGLES,CASTRES,GRENOBLE,MONTPELLIER,BRIVE,pau
Journée 17,racing 92,STADE TOULOUSAIN,montpellier,grenoble,CLERMONT,TOULON,CASTRES,union bordeaux bègles,STADE FRANÇAIS,AGEN,pau,brive,la rochelle,OYONNAX
Journée 18,castres,clermont,AGEN,BRIVE,toulon,PAU,oyonnax,MONTPELLIER,la rochelle,stade français,RACING 92,UNION BORDEAUX BÈGLES,GRENOBLE,stade toulousain
Journée 19,MONTPELLIER,CASTRES,brive,union bordeaux bègles,LA ROCHELLE,grenoble,agen,pau,OYONNAX,TOULON,stade toulousain,STADE FRANÇAIS,racing 92,CLERMONT
Journée 20,PAU,montpellier,STADE TOULOUSAIN,toulon,oyonnax,STADE FRANÇAIS,BRIVE,GRENOBLE,agen,union bordeaux bègles,la rochelle,castres,CLERMONT,RACING 92
Journée 21,clermont,OYONNAX,grenoble,AGEN,CASTRES,UNION BORDEAUX BÈGLES,stade français,brive,TOULON,stade toulousain,MONTPELLIER,RACING 92,pau,la rochelle
Journée 22,BRIVE,agen,PAU,racing 92,montpellier,oyonnax,GRENOBLE,LA ROCHELLE,castres,CLERMONT,union bordeaux bègles,toulon,STADE TOULOUSAIN,STADE FRANÇAIS
Journée 23,stade toulousain,RACING 92,toulon,pau,UNION BORDEAUX BÈGLES,MONTPELLIER,la rochelle,stade français,CLERMONT,brive,OYONNAX,AGEN,CASTRES,grenoble
Journée 24,TOULON,GRENOBLE,LA ROCHELLE,STADE FRANÇAIS,brive,castres,UNION BORDEAUX BÈGLES,STADE TOULOUSAIN,racing 92,PAU,clermont,oyonnax,agen,montpellier
Journée 25,stade français,union bordeaux bègles,oyonnax,stade toulousain,pau,RACING 92,TOULON,CASTRES,GRENOBLE,la rochelle,AGEN,CLERMONT,montpellier,BRIVE
Journée 26,OYONNAX,PAU,STADE FRANÇAIS,LA ROCHELLE,STADE TOULOUSAIN,clermont,racing 92,agen,brive,MONTPELLIER,castres,grenoble,UNION BORDEAUX BÈGLES,toulon
