Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,année
1,Stade rochelais,26,17,3,6,68,46,6,5,707,498,209,85,2016
2,ASM Clermont,26,15,3,8,87,58,8,4,800,562,238,78,2016
3,Montpellier HR,26,16,0,10,80,50,7,5,750,564,186,76,2016
4,RC Toulon,26,14,2,10,68,50,5,4,674,511,163,69,2016
5,Castres olympique,26,13,1,12,66,38,5,4,667,509,158,63,2016
6,Racing 92,26,14,1,11,63,62,3,1,586,616,-30,62,2016
7,Stade français Paris,26,12,1,13,66,59,5,4,643,638,5,59,2016
8,CA Brive,26,13,1,12,41,61,0,4,577,634,-57,58,2016
9,Section paloise,26,12,1,13,58,70,2,5,604,701,-97,57,2016
10,Lyon OU,26,11,2,13,55,56,3,4,573,632,-59,55,2016
11,Union Bordeaux Bègles,26,11,1,14,50,52,2,6,569,581,-12,54,2016
12,Stade toulousain,26,11,0,15,53,46,3,6,537,561,-24,53,2016
13,FC Grenoble,26,7,1,18,58,99,2,6,611,852,-241,38,2016
14,Aviron bayonnais,26,6,3,17,41,107,0,0,466,905,-439,30,2016
1,Montpellier HR,26,17,0,9,98,59,12,1,752,559,193,81,2017
2,Racing 92,26,18,0,8,73,45,5,3,622,478,144,80,2017
3,Stade toulousain,26,16,1,9,80,62,4,4,719,595,124,74,2017
4,RC Toulon,26,14,0,12,93,52,9,8,766,507,259,73,2017
5,Lyon OU,26,15,0,11,78,54,7,3,689,541,148,70,2017
6,Castres olympique,26,15,0,11,69,66,4,5,638,624,14,69,2017
7,Stade rochelais,26,14,1,11,81,52,6,3,686,531,155,67,2017
8,Section paloise,26,15,0,11,58,66,2,4,590,584,6,66,2017
9,ASM Clermont,26,11,1,14,67,76,4,4,629,687,-58,54,2017
10,Union Bordeaux Bègles,26,10,1,15,54,74,3,3,557,623,-66,48,2017
11,SU Agen,26,10,0,16,59,96,2,4,537,757,-220,46,2017
12,Stade français Paris,26,9,0,17,58,87,2,4,540,740,-200,42,2017
13,US Oyonnax,26,7,3,16,55,101,1,4,566,824,-258,39,2017
14,CA Brive,26,7,1,18,50,83,1,5,485,726,-241,36,2017
1,Stade toulousain,26,21,2,3,102,57,9,1,820,508,312,98,2018
2,ASM Clermont,26,16,3,7,93,50,9,4,828,535,293,83,2018
3,Lyon OU,26,17,1,8,72,56,7,1,683,525,158,78,2018
4,Racing 92,26,15,1,10,95,55,8,4,750,563,187,74,2018
5,Stade rochelais,26,16,0,10,92,69,6,1,719,616,103,71,2018
6,Montpellier HR,26,14,1,11,82,55,6,6,659,546,113,70,2018
7,Castres olympique,26,15,0,11,48,46,4,5,508,499,9,69,2018
