Club,1,2,3,4,5,6,7,8,9,10,11,12,13,14,année
Clubs,Aviron bayonnais,Union Bordeaux Bègles,CA Brive,Castres olympique,ASM Clermont,FC Grenoble,Lyon OU,Montpellier HR,Stade français Paris,Section paloise,Racing 92,Stade rochelais,RC Toulon,Stade toulousain,2016
Aviron bayonnais,-,24-20,33-23,12-12,22-14,43-35,22-22,9-21,16-32,25-25,3-16,17-42,28-23,16-13,2016
Union Bordeaux Bègles,40-20,-,27-25,17-29,23-23,46-14,32-10,15-32,37-19,16-18,15-9,26-0,13-26,20-11,2016
CA Brive,26-9,19-22,-,33-27,16-40,23-22,22-6,28-25,28-20,38-25,25-16,29-28,15-5,21-19,2016
Castres olympique,47-18,33-27,32-13,-,26-16,46-9,16-17,38-25,33-10,28-11,31-23,18-26,34-17,52-7,2016
ASM Clermont,46-27,40-16,21-26,29-19,-,21-20,16-13,19-28,46-10,65-13,47-10,30-26,30-6,29-25,2016
FC Grenoble,44-16,22-24,36-23,21-20,18-59,-,53-21,37-51,44-22,38-39,19-10,19-22,23-23,26-22,2016
Lyon OU,52-7,19-16,15-15,19-23,20-23,32-13,-,16-3,35-33,27-22,37-25,29-25,27-13,25-20,2016
Montpellier HR,61-22,31-26,42-13,28-19,22-26,54-14,25-20,-,27-26,41-13,54-3,12-11,33-29,27-18,2016
Stade français Paris,51-5,29-9,12-10,29-25,30-30,54-20,25-19,21-17,-,51-16,27-23,31-26,17-11,15-18,2016
Section paloise,25-9,28-30,32-27,18-12,40-35,39-22,38-15,32-27,23-6,-,26-17,13-23,18-22,20-24,2016
Racing 92,59-20,22-20,33-25,23-10,27-24,29-24,29-16,21-9,29-22,34-32,-,15-38,41-30,28-14,2016
Stade rochelais,34-17,16-5,36-17,22-8,30-30,40-3,43-18,40-37,37-18,27-6,23-23,-,17-17,25-19,2016
RC Toulon,82-14,37-10,21-25,23-14,23-21,42-12,31-17,28-6,31-12,32-12,17-11,20-23,-,33-23,2016
Stade toulousain,40-12,22-17,30-12,16-15,26-20,31-3,42-26,20-12,23-18,10-20,8-10,21-27,15-32,-,2016
Clubs,SU Agen,Union Bordeaux Bègles,CA Brive,Castres olympique,ASM Clermont,Lyon OU,Montpellier HR,US Oyonnax,Stade français Paris,Section paloise,Racing 92,Stade rochelais,RC Toulon,Stade toulousain,2017
SU Agen,-,10-15,27-13,30-3,27-17,6-25,31-29,36-21,29-13,14-20,23-19,15-20,26-24,25-52,2017
Union Bordeaux Bègles,33-23,-,27-27,6-7,32-25,19-10,47-17,20-26,30-10,19-18,15-39,29-19,30-27,19-25,2017
CA Brive,15-12,22-20,-,27-22,9-11,25-27,29-10,33-30,20-19,16-21,6-25,10-19,13-12,19-22,2017
Castres olympique,43-28,33-19,37-28,-,29-23,33-22,17-22,54-3,28-6,27-29,13-18,31-15,20-19,28-23,2017
ASM Clermont,35-26,33-3,62-6,27-31,-,39-18,29-30,12-18,33-10,38-14,23-21,21-17,21-16,36-26,2017
Lyon OU,71-17,49-14,29-14,31-12,36-10,-,32-24,52-18,44-3,35-23,22-24,15-19,15-6,9-17,2017
Montpellier HR,48-19,11-10,54-10,45-7,28-24,38-17,-,37-6,28-16,45-13,41-3,40-24,43-20,32-22,2017
US Oyonnax,12-10,9-39,40-17,19-32,32-32,39-18,30-43,-,33-27,16-19,12-16,38-38,29-26,23-23,2017
Stade français Paris,34-36,22-12,30-22,23-17,50-13,16-25,31-20,39-35,-,5-40,27-17,35-24,15-19,33-37,2017
Section paloise,22-33,27-17,34-15,28-13,22-21,30-14,16-22,33-12,23-25,-,24-15,18-15,38-26,11-10,2017
Racing 92,42-13,29-13,17-13,25-20,58-6,17-20,26-0,25-13,28-22,23-20,-,19-12,17-13,23-19,2017
Stade rochelais,47-6,31-20,33-24,18-26,51-20,19-15,26-14,57-12,31-7,44-14,16-9,-,20-27,37-21,2017
RC Toulon,54-5,36-12,41-24,59-13,49-0,39-11,32-17,49-25,43-5,41-14,29-40,26-20,-,20-16,2017
Stade toulousain,30-10,38-37,45-28,31-41,28-18,20-27,22-14,37-15,53-17,23-19,42-27,19-14,18-13,-,2017
Clubs,SU Agen,Union Bordeaux Bègles,Castres olympique,ASM Clermont,FC Grenoble,Lyon OU,Montpellier HR,Stade français Paris,Section paloise,USA Perpignan,Racing 92,Stade rochelais,RC Toulon,Stade toulousain,2018
SU Agen,-,22-17,10-17,13-28,9-9,25-15,15-18,6-19,25-28,25-23,3-35,19-7,19-10,20-27,2018
Union Bordeaux Bègles,25-17,-,12-16,23-19,47-31,35-13,9-9,26-12,41-19,31-22,40-7,34-22,36-25,36-43,2018
Castres olympique,13-16,13-32,-,24-16,29-13,19-16,9-12,9-14,37-10,36-17,18-9,25-11,16-25,20-21,2018
ASM Clermont,67-23,40-20,41-6,-,52-17,31-11,27-28,42-20,27-14,35-13,31-31,44-19,28-8,20-20,2018
