0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,UBB,CAS,CLE,GRE,LOU,MHR,SFR,PAU,PER,RAC,ROC,RCT,TOU
SU Agen,,22-17,10-17,13-28,9-9,25-15,15-18,6-19,25-28,25-23,3-35,19-7,19-10,20-27
Bordeaux-Bègles,25-17,,12-16,23-19,47-31,35-13,9-9,26-12,41-19,31-22,40-7,34-22,36-25,36-43
Castres olympique,13-16,13-32,,24-16,29-13,19-16,9-12,9-14,37-10,36-17,18-9,25-11,16-25,20-21
ASM Clermont,67-23,40-20,41-6,,52-17,31-11,27-28,42-20,27-14,35-13,31-31,44-19,28-8,20-20
FC Grenoble,11-29,28-25,6-16,27-27,,23-24,17-16,21-17,21-24,31-22,16-34,21-28,19-18,20-23
Lyon OU,52-20,34-10,15-23,19-13,34-6,,55-13,41-6,30-10,47-9,32-11,29-19,42-33,16-16
Montpellier HR,33-17,37-10,20-25,23-28,47-12,14-25,,42-25,41-13,10-28,13-27,36-14,29-17,66-15
Stade français,25-22,20-8,32-16,25-41,23-20,13-24,25-20,,31-17,27-8,16-17,12-14,37-10,9-28
Section paloise,27-17,40-23,9-14,23-27,22-0,24-27,14-25,13-25,,12-9,29-27,23-28,20-10,13-15
USA Perpignan,13-20,11-22,12-16,16-37,22-16,16-22,20-23,15-46,24-30,,14-52,29-49,11-24,18-36
Racing 92,59-7,45-27,27-11,17-40,24-23,13-19,26-25,23-27,48-28,64-28,,50-14,22-13,29-34
Stade rochelais,33-29,81-12,53-27,16-12,28-21,30-13,27-25,14-27,71-21,37-10,16-11,,30-21,19-23
RC Toulon,33-3,45-17,28-27,32-11,22-3,40-7,18-21,33-30,38-11,26-16,9-25,9-13,,25-10
Stade toulousain,10-0,40-0,22-26,47-44,29-16,53-21,27-14,49-20,83-6,47-7,30-17,33-26,39-0,
